时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/12 14:00:00,0,26.2656,23.639,24.4,0
2026/7/12 14:00:10,0.1608,19.2812,17.3531,24.49,0.1447
2026/7/12 14:00:20,0.2638,18.5136,16.6622,24.46,0.2374
2026/7/12 14:00:30,0.3299,21.5734,19.416,24.48,0.2969
2026/7/12 14:00:40,0.3723,20.1734,18.1561,24.54,0.3351
2026/7/12 14:00:50,0.3995,19.8132,17.8319,24.42,0.3595
2026/7/12 14:01:00,0.4169,22.6541,20.3887,24.59,0.3752
2026/7/12 14:01:10,0.428,17.7232,15.9509,24.56,0.3852
2026/7/12 14:01:20,0.4352,16.7565,15.0808,24.5,0.3917
2026/7/12 14:01:30,0.4704,13.68,12.312,24.62,0.4234
2026/7/12 14:01:40,0.4679,17.7666,15.99,24.58,0.4211
2026/7/12 14:01:50,0.4654,17.3062,15.5756,24.56,0.4189
2026/7/12 14:02:00,0.4629,12.811,11.5299,24.49,0.4166
2026/7/12 14:02:10,0.4604,9.2827,8.3544,24.64,0.4144
2026/7/12 14:02:20,0.458,10.6471,9.5824,24.61,0.4122
2026/7/12 14:02:30,0.4555,15.3861,13.8475,24.48,0.4099
2026/7/12 14:02:40,0.453,18.2268,16.4041,24.6,0.4077
2026/7/12 14:02:50,0.4505,16.0084,14.4075,24.64,0.4054
2026/7/12 14:03:00,0.4461,9.12,8.208,24.67,0.4015
2026/7/12 14:03:10,0.447,9.1214,8.2092,24.54,0.4023
2026/7/12 14:03:20,0.4488,9.1224,8.2102,24.51,0.4039
2026/7/12 14:03:30,0.4464,9.123,8.2107,24.56,0.4018
2026/7/12 14:03:40,0.4511,9.1228,8.2106,24.54,0.406
2026/7/12 14:03:50,0.4469,9.1221,8.2099,24.65,0.4022
2026/7/12 14:04:00,0.4444,9.1208,8.2088,24.56,0.4
2026/7/12 14:04:10,0.4441,9.1194,8.2075,24.7,0.3997
2026/7/12 14:04:20,0.4458,9.1181,8.2063,24.57,0.4012
2026/7/12 14:04:30,0.4503,9.1173,8.2055,24.56,0.4053
2026/7/12 14:04:40,0.4482,9.117,8.2053,24.64,0.4034
2026/7/12 14:04:50,0.4495,9.1174,8.2057,24.72,0.4046
2026/7/12 14:05:00,0.451,9.1184,8.2065,24.55,0.4059
2026/7/12 14:05:10,0.4497,9.1197,8.2078,24.64,0.4047
2026/7/12 14:05:20,0.4503,9.1211,8.209,24.61,0.4053
2026/7/12 14:05:30,0.4512,9.1223,8.21,24.66,0.4061
2026/7/12 14:05:40,0.4506,9.1229,8.2106,24.65,0.4055
2026/7/12 14:05:50,0.4502,9.1229,8.2106,24.58,0.4052
2026/7/12 14:06:00,0.4491,9.1223,8.21,24.59,0.4042
2026/7/12 14:06:10,0.4438,9.1211,8.209,24.78,0.3994
2026/7/12 14:06:20,0.4471,9.1197,8.2077,24.74,0.4024
2026/7/12 14:06:30,0.4505,9.1184,8.2065,24.72,0.4055
2026/7/12 14:06:40,0.4518,9.1174,8.2057,24.7,0.4066
2026/7/12 14:06:50,0.4507,9.117,8.2053,24.6,0.4056
2026/7/12 14:07:00,0.4493,9.1173,8.2055,24.64,0.4044
2026/7/12 14:07:10,0.4522,9.1182,8.2063,24.7,0.407
2026/7/12 14:07:20,0.4478,9.1194,8.2075,24.64,0.403
2026/7/12 14:07:30,0.4445,9.1209,8.2088,24.72,0.4
2026/7/12 14:07:40,0.4493,9.1221,8.2099,24.71,0.4044
2026/7/12 14:07:50,0.446,9.1228,8.2106,24.82,0.4014
2026/7/12 14:08:00,0.4504,9.123,8.2107,24.7,0.4054
2026/7/12 14:08:10,0.4509,9.1224,8.2102,24.7,0.4058
2026/7/12 14:08:20,0.4452,9.1214,8.2092,24.81,0.4007
2026/7/12 14:08:30,0.451,9.12,8.208,24.66,0.4059
2026/7/12 14:08:40,0.4513,9.1186,8.2067,24.8,0.4062
2026/7/12 14:08:50,0.4524,9.1175,8.2058,24.84,0.4072
2026/7/12 14:09:00,0.4433,9.117,8.2053,24.85,0.399
2026/7/12 14:09:10,0.4512,9.1172,8.2055,24.67,0.4061
2026/7/12 14:09:20,0.4445,9.1179,8.2062,24.79,0.4
2026/7/12 14:09:30,0.4493,9.1192,8.2073,24.86,0.4044
2026/7/12 14:09:40,0.4517,9.1206,8.2085,24.83,0.4065
2026/7/12 14:09:50,0.4458,9.1219,8.2097,24.88,0.4012
