 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.401850,0.031500,24.50
0.5,0.402061,0.031535,24.50
1.0,0.402273,0.031570,24.50
1.5,0.402484,0.031605,24.50
2.0,0.402696,0.031640,24.50
2.5,0.402907,0.031675,24.50
3.0,0.403119,0.031710,24.50
3.5,0.403330,0.031745,24.50
4.0,0.403542,0.031780,24.50
4.5,0.403753,0.031815,24.50
5.0,0.403965,0.031850,24.50
5.5,0.404176,0.031885,24.51
6.0,0.404388,0.031920,24.51
6.5,0.404599,0.031955,24.51
7.0,0.404811,0.031990,24.51
7.5,0.405022,0.032025,24.51
8.0,0.405234,0.032060,24.51
8.5,0.405445,0.032095,24.51
9.0,0.405657,0.032130,24.51
9.5,0.405868,0.032165,24.51
10.0,0.406080,0.032200,24.51
10.5,0.406291,0.032235,24.51
11.0,0.406503,0.032270,24.51
11.5,0.406714,0.032305,24.51
12.0,0.406926,0.032340,24.51
12.5,0.407137,0.032375,24.51
13.0,0.407349,0.032410,24.51
13.5,0.407560,0.032445,24.51
14.0,0.407772,0.032480,24.51
14.5,0.407983,0.032515,24.51
15.0,0.408195,0.032550,24.52
15.5,0.408406,0.032585,24.52
16.0,0.408618,0.032620,24.52
16.5,0.408829,0.032655,24.52
17.0,0.409041,0.032690,24.52
17.5,0.409252,0.032725,24.52
18.0,0.409464,0.032760,24.52
18.5,0.409675,0.032795,24.52
19.0,0.409887,0.032830,24.52
19.5,0.410098,0.032865,24.52
20.0,0.410310,0.032900,24.52
20.5,0.410521,0.032935,24.52
21.0,0.410733,0.032970,24.52
21.5,0.410944,0.033005,24.52
22.0,0.411156,0.033040,24.52
22.5,0.411367,0.033075,24.52
23.0,0.411579,0.033110,24.52
23.5,0.411790,0.033145,24.52
24.0,0.412002,0.033180,24.52
24.5,0.412213,0.033215,24.52
25.0,0.412425,0.033250,24.52
25.5,0.412636,0.033285,24.53
26.0,0.412848,0.033320,24.53
26.5,0.413059,0.033355,24.53
27.0,0.413271,0.033390,24.53
27.5,0.413482,0.033425,24.53
28.0,0.413694,0.033460,24.53
28.5,0.413905,0.033495,24.53
29.0,0.414117,0.033530,24.53
29.5,0.414328,0.033565,24.53
30.0,0.414540,0.033600,24.53
30.5,0.414751,0.033635,24.53
31.0,0.414963,0.033670,24.53
31.5,0.415174,0.033705,24.53
32.0,0.415386,0.033740,24.53
32.5,0.415597,0.033775,24.53
33.0,0.415809,0.033810,24.53
33.5,0.416020,0.033845,24.53
34.0,0.416232,0.033880,24.53
34.5,0.416443,0.033915,24.53
35.0,0.416655,0.033950,24.54
35.5,0.416866,0.033985,24.54
36.0,0.417078,0.034020,24.54
36.5,0.417289,0.034055,24.54
37.0,0.417501,0.034090,24.54
37.5,0.417712,0.034125,24.54
38.0,0.417924,0.034160,24.54
38.5,0.418135,0.034195,24.54
39.0,0.418347,0.034230,24.54
39.5,0.418558,0.034265,24.54
40.0,0.418770,0.034300,24.54
40.5,0.418981,0.034335,24.54
41.0,0.419193,0.034370,24.54
41.5,0.419404,0.034405,24.54
42.0,0.419616,0.034440,24.54
42.5,0.419827,0.034475,24.54
43.0,0.420039,0.034510,24.54
43.5,0.420250,0.034545,24.54
44.0,0.420462,0.034580,24.54
44.5,0.420673,0.034615,24.54
45.0,0.420885,0.034650,24.55
45.5,0.421096,0.034685,24.55
46.0,0.421308,0.034720,24.55
46.5,0.421519,0.034755,24.55
47.0,0.421731,0.034790,24.55
47.5,0.421942,0.034825,24.55
48.0,0.422154,0.034860,24.55
48.5,0.422365,0.034895,24.55
49.0,0.422577,0.034930,24.55
49.5,0.422788,0.034965,24.55
50.0,0.423000,0.035000,24.55
50.5,0.423211,0.035035,24.55
51.0,0.423423,0.035070,24.55
51.5,0.423635,0.035105,24.55
52.0,0.423846,0.035140,24.55
52.5,0.424057,0.035175,24.55
53.0,0.424269,0.035210,24.55
53.5,0.424481,0.035245,24.55
54.0,0.424692,0.035280,24.55
54.5,0.424903,0.035315,24.55
55.0,0.425115,0.035350,24.55
55.5,0.425326,0.035385,24.56
56.0,0.425538,0.035420,24.56
56.5,0.425749,0.035455,24.56
57.0,0.425961,0.035490,24.56
57.5,0.426172,0.035525,24.56
58.0,0.426384,0.035560,24.56
58.5,0.426595,0.035595,24.56
59.0,0.426807,0.035630,24.56
59.5,0.427019,0.035665,24.56
60.0,0.427230,0.035700,24.56
60.5,0.427441,0.035735,24.56
61.0,0.427653,0.035770,24.56
61.5,0.427864,0.035805,24.56
62.0,0.428076,0.035840,24.56
62.5,0.428287,0.035875,24.56
63.0,0.428499,0.035910,24.56
63.5,0.428710,0.035945,24.56
64.0,0.428922,0.035980,24.56
64.5,0.429133,0.036015,24.56
65.0,0.429345,0.036050,24.57
65.5,0.429556,0.036085,24.57
66.0,0.429768,0.036120,24.57
66.5,0.429979,0.036155,24.57
67.0,0.430191,0.036190,24.57
67.5,0.430403,0.036225,24.57
68.0,0.430614,0.036260,24.57
68.5,0.430825,0.036295,24.57
69.0,0.431037,0.036330,24.57
69.5,0.431248,0.036365,24.57
70.0,0.431460,0.036400,24.57
70.5,0.431671,0.036435,24.57
71.0,0.431883,0.036470,24.57
71.5,0.432094,0.036505,24.57
72.0,0.432306,0.036540,24.57
72.5,0.432517,0.036575,24.57
73.0,0.432729,0.036610,24.57
73.5,0.432940,0.036645,24.57
74.0,0.433152,0.036680,24.57
74.5,0.433363,0.036715,24.57
75.0,0.433575,0.036750,24.57
75.5,0.433787,0.036785,24.58
76.0,0.433998,0.036820,24.58
76.5,0.434209,0.036855,24.58
77.0,0.434421,0.036890,24.58
77.5,0.434632,0.036925,24.58
78.0,0.434844,0.036960,24.58
78.5,0.435055,0.036995,24.58
79.0,0.435267,0.037030,24.58
79.5,0.435479,0.037065,24.58
80.0,0.435690,0.037100,24.58
80.5,0.435901,0.037135,24.58
81.0,0.436113,0.037170,24.58
81.5,0.436324,0.037205,24.58
82.0,0.436536,0.037240,24.58
82.5,0.436747,0.037275,24.58
83.0,0.436959,0.037310,24.58
83.5,0.437170,0.037345,24.58
84.0,0.437382,0.037380,24.58
84.5,0.437593,0.037415,24.58
85.0,0.437805,0.037450,24.59
85.5,0.438016,0.037485,24.59
86.0,0.438228,0.037520,24.59
86.5,0.438439,0.037555,24.59
87.0,0.438651,0.037590,24.59
87.5,0.438862,0.037625,24.59
