 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.405650,0.036900,24.50
0.5,0.405863,0.036941,24.50
1.0,0.406077,0.036982,24.50
1.5,0.406290,0.037023,24.50
2.0,0.406504,0.037064,24.50
2.5,0.406717,0.037105,24.50
3.0,0.406931,0.037146,24.50
3.5,0.407144,0.037187,24.50
4.0,0.407358,0.037228,24.50
4.5,0.407571,0.037269,24.50
5.0,0.407785,0.037310,24.50
5.5,0.407998,0.037351,24.51
6.0,0.408212,0.037392,24.51
6.5,0.408425,0.037433,24.51
7.0,0.408639,0.037474,24.51
7.5,0.408852,0.037515,24.51
8.0,0.409066,0.037556,24.51
8.5,0.409279,0.037597,24.51
9.0,0.409493,0.037638,24.51
9.5,0.409706,0.037679,24.51
10.0,0.409920,0.037720,24.51
10.5,0.410133,0.037761,24.51
11.0,0.410347,0.037802,24.51
11.5,0.410560,0.037843,24.51
12.0,0.410774,0.037884,24.51
12.5,0.410987,0.037925,24.51
13.0,0.411201,0.037966,24.51
13.5,0.411414,0.038007,24.51
14.0,0.411628,0.038048,24.51
14.5,0.411841,0.038089,24.51
15.0,0.412055,0.038130,24.52
15.5,0.412268,0.038171,24.52
16.0,0.412482,0.038212,24.52
16.5,0.412695,0.038253,24.52
17.0,0.412909,0.038294,24.52
17.5,0.413122,0.038335,24.52
18.0,0.413336,0.038376,24.52
18.5,0.413549,0.038417,24.52
19.0,0.413763,0.038458,24.52
19.5,0.413976,0.038499,24.52
20.0,0.414190,0.038540,24.52
20.5,0.414403,0.038581,24.52
21.0,0.414617,0.038622,24.52
21.5,0.414830,0.038663,24.52
22.0,0.415044,0.038704,24.52
22.5,0.415257,0.038745,24.52
23.0,0.415471,0.038786,24.52
23.5,0.415684,0.038827,24.52
24.0,0.415898,0.038868,24.52
24.5,0.416111,0.038909,24.52
25.0,0.416325,0.038950,24.52
25.5,0.416538,0.038991,24.53
26.0,0.416752,0.039032,24.53
26.5,0.416965,0.039073,24.53
27.0,0.417179,0.039114,24.53
27.5,0.417392,0.039155,24.53
28.0,0.417606,0.039196,24.53
28.5,0.417819,0.039237,24.53
29.0,0.418033,0.039278,24.53
29.5,0.418246,0.039319,24.53
30.0,0.418460,0.039360,24.53
30.5,0.418673,0.039401,24.53
31.0,0.418887,0.039442,24.53
31.5,0.419100,0.039483,24.53
32.0,0.419314,0.039524,24.53
32.5,0.419527,0.039565,24.53
33.0,0.419741,0.039606,24.53
33.5,0.419954,0.039647,24.53
34.0,0.420168,0.039688,24.53
34.5,0.420381,0.039729,24.53
35.0,0.420595,0.039770,24.54
35.5,0.420808,0.039811,24.54
36.0,0.421022,0.039852,24.54
36.5,0.421235,0.039893,24.54
37.0,0.421449,0.039934,24.54
37.5,0.421662,0.039975,24.54
38.0,0.421876,0.040016,24.54
38.5,0.422089,0.040057,24.54
39.0,0.422303,0.040098,24.54
39.5,0.422516,0.040139,24.54
40.0,0.422730,0.040180,24.54
40.5,0.422943,0.040221,24.54
41.0,0.423157,0.040262,24.54
41.5,0.423370,0.040303,24.54
42.0,0.423584,0.040344,24.54
42.5,0.423797,0.040385,24.54
43.0,0.424011,0.040426,24.54
43.5,0.424224,0.040467,24.54
44.0,0.424438,0.040508,24.54
44.5,0.424651,0.040549,24.54
45.0,0.424865,0.040590,24.55
45.5,0.425078,0.040631,24.55
46.0,0.425292,0.040672,24.55
46.5,0.425505,0.040713,24.55
47.0,0.425719,0.040754,24.55
47.5,0.425932,0.040795,24.55
48.0,0.426146,0.040836,24.55
48.5,0.426359,0.040877,24.55
49.0,0.426573,0.040918,24.55
49.5,0.426786,0.040959,24.55
50.0,0.427000,0.041000,24.55
50.5,0.427213,0.041041,24.55
51.0,0.427427,0.041082,24.55
51.5,0.427641,0.041123,24.55
52.0,0.427854,0.041164,24.55
52.5,0.428067,0.041205,24.55
53.0,0.428281,0.041246,24.55
53.5,0.428495,0.041287,24.55
54.0,0.428708,0.041328,24.55
54.5,0.428921,0.041369,24.55
55.0,0.429135,0.041410,24.55
