时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/2 08:45:00,0,14.5127,13.0615,24.49,0
2026/7/2 08:45:10,0.1543,13.6812,12.313,24.42,0.1389
2026/7/2 08:45:20,0.2532,12.1739,10.9565,24.52,0.2279
2026/7/2 08:45:30,0.3167,16.1229,14.5106,24.44,0.285
2026/7/2 08:45:40,0.3573,11.5862,10.4276,24.44,0.3216
2026/7/2 08:45:50,0.3834,12.6986,11.4288,24.48,0.3451
2026/7/2 08:46:00,0.4001,14.1949,12.7754,24.54,0.3601
2026/7/2 08:46:10,0.4108,14.9915,13.4924,24.52,0.3698
2026/7/2 08:46:20,0.4177,15.4883,13.9394,24.61,0.3759
2026/7/2 08:46:30,0.4515,8.9955,8.096,24.56,0.4064
2026/7/2 08:46:40,0.4491,11.6827,10.5145,24.54,0.4042
2026/7/2 08:46:50,0.4467,11.38,10.242,24.64,0.402
2026/7/2 08:47:00,0.4443,8.4241,7.5817,24.5,0.3999
2026/7/2 08:47:10,0.4419,6.104,5.4936,24.49,0.3978
2026/7/2 08:47:20,0.4396,7.0012,6.3011,24.57,0.3956
2026/7/2 08:47:30,0.4372,10.1174,9.1057,24.52,0.3934
2026/7/2 08:47:40,0.4348,11.9853,10.7868,24.67,0.3913
2026/7/2 08:47:50,0.4324,10.5266,9.4739,24.68,0.3892
2026/7/2 08:48:00,0.4301,5.997,5.3973,24.64,0.3871
2026/7/2 08:48:10,0.4309,5.9984,5.3985,24.62,0.3878
2026/7/2 08:48:20,0.4263,5.9994,5.3995,24.66,0.3837
2026/7/2 08:48:30,0.4339,6,5.4,24.56,0.3905
2026/7/2 08:48:40,0.4304,5.9998,5.3999,24.57,0.3874
2026/7/2 08:48:50,0.4326,5.9991,5.3992,24.65,0.3893
2026/7/2 08:49:00,0.4256,5.9978,5.3981,24.56,0.383
2026/7/2 08:49:10,0.4264,5.9964,5.3968,24.62,0.3838
2026/7/2 08:49:20,0.4334,5.9951,5.3956,24.55,0.3901
2026/7/2 08:49:30,0.43,5.9943,5.3948,24.58,0.387
2026/7/2 08:49:40,0.4289,5.994,5.3946,24.7,0.386
2026/7/2 08:49:50,0.4299,5.9944,5.395,24.54,0.3869
2026/7/2 08:50:00,0.4306,5.9954,5.3958,24.61,0.3875
2026/7/2 08:50:10,0.4323,5.9967,5.3971,24.64,0.3891
2026/7/2 08:50:20,0.4274,5.9981,5.3983,24.58,0.3847
2026/7/2 08:50:30,0.4256,5.9993,5.3993,24.74,0.383
2026/7/2 08:50:40,0.4266,5.9999,5.3999,24.66,0.3839
2026/7/2 08:50:50,0.4257,5.9999,5.3999,24.74,0.3831
2026/7/2 08:51:00,0.4321,5.9993,5.3993,24.74,0.3889
2026/7/2 08:51:10,0.4329,5.9981,5.3983,24.67,0.3896
2026/7/2 08:51:20,0.4335,5.9967,5.397,24.64,0.3902
2026/7/2 08:51:30,0.429,5.9954,5.3958,24.68,0.3861
2026/7/2 08:51:40,0.4298,5.9944,5.395,24.74,0.3868
2026/7/2 08:51:50,0.4325,5.994,5.3946,24.65,0.3892
2026/7/2 08:52:00,0.4293,5.9943,5.3948,24.77,0.3864
2026/7/2 08:52:10,0.4319,5.9952,5.3956,24.78,0.3887
2026/7/2 08:52:20,0.4334,5.9964,5.3968,24.62,0.3901
2026/7/2 08:52:30,0.429,5.9979,5.3981,24.78,0.3861
2026/7/2 08:52:40,0.4285,5.9991,5.3992,24.71,0.3856
2026/7/2 08:52:50,0.4271,5.9998,5.3999,24.82,0.3844
2026/7/2 08:53:00,0.4326,6,5.4,24.79,0.3893
2026/7/2 08:53:10,0.4332,5.9994,5.3995,24.7,0.3899
2026/7/2 08:53:20,0.4284,5.9984,5.3985,24.73,0.3856
2026/7/2 08:53:30,0.4304,5.997,5.3973,24.82,0.3874
2026/7/2 08:53:40,0.4347,5.9956,5.396,24.82,0.3912
2026/7/2 08:53:50,0.4322,5.9945,5.3951,24.8,0.389
2026/7/2 08:54:00,0.432,5.994,5.3946,24.8,0.3888
2026/7/2 08:54:10,0.4256,5.9942,5.3948,24.72,0.383
2026/7/2 08:54:20,0.4338,5.9949,5.3955,24.74,0.3904
2026/7/2 08:54:30,0.4256,5.9962,5.3966,24.78,0.383
2026/7/2 08:54:40,0.4342,5.9976,5.3978,24.85,0.3908
2026/7/2 08:54:50,0.4343,5.9989,5.399,24.82,0.3909
