时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/5 09:00:00,0,7.5756,6.818,24.54,0
2026/7/5 09:00:10,0.1489,8.2385,7.4146,24.44,0.134
2026/7/5 09:00:20,0.2444,8.6574,7.7916,24.47,0.2199
2026/7/5 09:00:30,0.3056,7.2883,6.5595,24.6,0.275
2026/7/5 09:00:40,0.3449,6.4414,5.7973,24.52,0.3104
2026/7/5 09:00:50,0.37,6.8854,6.1969,24.46,0.333
2026/7/5 09:01:00,0.3862,7.5692,6.8123,24.47,0.3475
2026/7/5 09:01:10,0.3965,8.308,7.4772,24.54,0.3569
2026/7/5 09:01:20,0.4031,6.0091,5.4082,24.46,0.3628
2026/7/5 09:01:30,0.4358,4.815,4.3335,24.56,0.3922
2026/7/5 09:01:40,0.4334,6.2534,5.628,24.53,0.3901
2026/7/5 09:01:50,0.4311,6.0913,5.4822,24.54,0.388
2026/7/5 09:02:00,0.4288,4.5091,4.0582,24.6,0.386
2026/7/5 09:02:10,0.4265,3.2673,2.9405,24.52,0.3839
2026/7/5 09:02:20,0.4242,3.7475,3.3728,24.6,0.3818
2026/7/5 09:02:30,0.4219,5.4155,4.874,24.58,0.3797
2026/7/5 09:02:40,0.4196,6.4153,5.7738,24.49,0.3776
2026/7/5 09:02:50,0.4173,5.6345,5.0711,24.5,0.3756
2026/7/5 09:03:00,0.4177,3.21,2.889,24.53,0.3759
2026/7/5 09:03:10,0.4162,3.2114,2.8902,24.66,0.3746
2026/7/5 09:03:20,0.4191,3.2124,2.8912,24.63,0.3772
2026/7/5 09:03:30,0.4138,3.213,2.8917,24.62,0.3724
2026/7/5 09:03:40,0.4182,3.2128,2.8916,24.69,0.3764
2026/7/5 09:03:50,0.4163,3.2121,2.8909,24.66,0.3747
2026/7/5 09:04:00,0.411,3.2108,2.8898,24.63,0.3699
2026/7/5 09:04:10,0.4196,3.2094,2.8885,24.68,0.3776
2026/7/5 09:04:20,0.412,3.2081,2.8873,24.55,0.3708
2026/7/5 09:04:30,0.4196,3.2073,2.8865,24.6,0.3776
2026/7/5 09:04:40,0.4185,3.207,2.8863,24.6,0.3766
2026/7/5 09:04:50,0.4155,3.2074,2.8867,24.64,0.374
2026/7/5 09:05:00,0.4102,3.2084,2.8875,24.71,0.3692
2026/7/5 09:05:10,0.4133,3.2097,2.8888,24.64,0.372
2026/7/5 09:05:20,0.4135,3.2111,2.89,24.66,0.3722
2026/7/5 09:05:30,0.4155,3.2123,2.891,24.68,0.374
2026/7/5 09:05:40,0.4111,3.2129,2.8916,24.6,0.37
2026/7/5 09:05:50,0.41,3.2129,2.8916,24.68,0.369
2026/7/5 09:06:00,0.4167,3.2123,2.891,24.73,0.375
2026/7/5 09:06:10,0.4197,3.2111,2.89,24.72,0.3777
2026/7/5 09:06:20,0.4153,3.2097,2.8887,24.71,0.3738
2026/7/5 09:06:30,0.4146,3.2084,2.8875,24.62,0.3731
2026/7/5 09:06:40,0.4186,3.2074,2.8867,24.79,0.3767
2026/7/5 09:06:50,0.4127,3.207,2.8863,24.64,0.3714
2026/7/5 09:07:00,0.4132,3.2073,2.8865,24.67,0.3719
2026/7/5 09:07:10,0.4162,3.2082,2.8873,24.8,0.3746
2026/7/5 09:07:20,0.4142,3.2094,2.8885,24.73,0.3728
2026/7/5 09:07:30,0.4192,3.2109,2.8898,24.82,0.3773
2026/7/5 09:07:40,0.4119,3.2121,2.8909,24.73,0.3707
2026/7/5 09:07:50,0.418,3.2128,2.8916,24.76,0.3762
2026/7/5 09:08:00,0.4117,3.213,2.8917,24.7,0.3705
2026/7/5 09:08:10,0.4145,3.2124,2.8912,24.74,0.373
2026/7/5 09:08:20,0.4163,3.2114,2.8902,24.81,0.3747
2026/7/5 09:08:30,0.4154,3.21,2.889,24.76,0.3739
2026/7/5 09:08:40,0.4164,3.2086,2.8877,24.7,0.3748
2026/7/5 09:08:50,0.4182,3.2075,2.8868,24.86,0.3764
2026/7/5 09:09:00,0.4193,3.207,2.8863,24.67,0.3774
2026/7/5 09:09:10,0.4134,3.2072,2.8865,24.72,0.3721
2026/7/5 09:09:20,0.4118,3.2079,2.8872,24.81,0.3706
2026/7/5 09:09:30,0.4129,3.2092,2.8883,24.82,0.3716
2026/7/5 09:09:40,0.4199,3.2106,2.8895,24.74,0.3779
2026/7/5 09:09:50,0.4154,3.2119,2.8907,24.78,0.3739
