 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.409450,0.010800,24.50
0.5,0.409665,0.010812,24.50
1.0,0.409881,0.010824,24.50
1.5,0.410096,0.010836,24.50
2.0,0.410312,0.010848,24.50
2.5,0.410527,0.010860,24.50
3.0,0.410743,0.010872,24.50
3.5,0.410958,0.010884,24.50
4.0,0.411174,0.010896,24.50
4.5,0.411389,0.010908,24.50
5.0,0.411605,0.010920,24.50
5.5,0.411820,0.010932,24.51
6.0,0.412036,0.010944,24.51
6.5,0.412251,0.010956,24.51
7.0,0.412467,0.010968,24.51
7.5,0.412682,0.010980,24.51
8.0,0.412898,0.010992,24.51
8.5,0.413113,0.011004,24.51
9.0,0.413329,0.011016,24.51
9.5,0.413544,0.011028,24.51
10.0,0.413760,0.011040,24.51
10.5,0.413975,0.011052,24.51
11.0,0.414191,0.011064,24.51
11.5,0.414406,0.011076,24.51
12.0,0.414622,0.011088,24.51
12.5,0.414837,0.011100,24.51
13.0,0.415053,0.011112,24.51
13.5,0.415268,0.011124,24.51
14.0,0.415484,0.011136,24.51
14.5,0.415699,0.011148,24.51
15.0,0.415915,0.011160,24.52
15.5,0.416130,0.011172,24.52
16.0,0.416346,0.011184,24.52
16.5,0.416561,0.011196,24.52
17.0,0.416777,0.011208,24.52
17.5,0.416992,0.011220,24.52
18.0,0.417208,0.011232,24.52
18.5,0.417423,0.011244,24.52
19.0,0.417639,0.011256,24.52
19.5,0.417854,0.011268,24.52
20.0,0.418070,0.011280,24.52
20.5,0.418285,0.011292,24.52
21.0,0.418501,0.011304,24.52
21.5,0.418716,0.011316,24.52
22.0,0.418932,0.011328,24.52
22.5,0.419147,0.011340,24.52
23.0,0.419363,0.011352,24.52
23.5,0.419578,0.011364,24.52
24.0,0.419794,0.011376,24.52
24.5,0.420009,0.011388,24.52
25.0,0.420225,0.011400,24.52
25.5,0.420440,0.011412,24.53
26.0,0.420656,0.011424,24.53
26.5,0.420871,0.011436,24.53
27.0,0.421087,0.011448,24.53
27.5,0.421302,0.011460,24.53
28.0,0.421518,0.011472,24.53
28.5,0.421733,0.011484,24.53
29.0,0.421949,0.011496,24.53
29.5,0.422164,0.011508,24.53
30.0,0.422380,0.011520,24.53
30.5,0.422595,0.011532,24.53
31.0,0.422811,0.011544,24.53
31.5,0.423026,0.011556,24.53
