 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.408500,0.025200,24.50
0.5,0.408715,0.025228,24.50
1.0,0.408930,0.025256,24.50
1.5,0.409145,0.025284,24.50
2.0,0.409360,0.025312,24.50
2.5,0.409575,0.025340,24.50
3.0,0.409790,0.025368,24.50
3.5,0.410005,0.025396,24.50
4.0,0.410220,0.025424,24.50
4.5,0.410435,0.025452,24.50
5.0,0.410650,0.025480,24.50
5.5,0.410865,0.025508,24.51
6.0,0.411080,0.025536,24.51
6.5,0.411295,0.025564,24.51
7.0,0.411510,0.025592,24.51
7.5,0.411725,0.025620,24.51
8.0,0.411940,0.025648,24.51
8.5,0.412155,0.025676,24.51
9.0,0.412370,0.025704,24.51
9.5,0.412585,0.025732,24.51
10.0,0.412800,0.025760,24.51
10.5,0.413015,0.025788,24.51
11.0,0.413230,0.025816,24.51
11.5,0.413445,0.025844,24.51
12.0,0.413660,0.025872,24.51
12.5,0.413875,0.025900,24.51
13.0,0.414090,0.025928,24.51
13.5,0.414305,0.025956,24.51
14.0,0.414520,0.025984,24.51
14.5,0.414735,0.026012,24.51
15.0,0.414950,0.026040,24.52
15.5,0.415165,0.026068,24.52
16.0,0.415380,0.026096,24.52
16.5,0.415595,0.026124,24.52
17.0,0.415810,0.026152,24.52
17.5,0.416025,0.026180,24.52
18.0,0.416240,0.026208,24.52
18.5,0.416455,0.026236,24.52
19.0,0.416670,0.026264,24.52
19.5,0.416885,0.026292,24.52
20.0,0.417100,0.026320,24.52
20.5,0.417315,0.026348,24.52
21.0,0.417530,0.026376,24.52
21.5,0.417745,0.026404,24.52
22.0,0.417960,0.026432,24.52
22.5,0.418175,0.026460,24.52
23.0,0.418390,0.026488,24.52
23.5,0.418605,0.026516,24.52
24.0,0.418820,0.026544,24.52
24.5,0.419035,0.026572,24.52
25.0,0.419250,0.026600,24.52
25.5,0.419465,0.026628,24.53
26.0,0.419680,0.026656,24.53
26.5,0.419895,0.026684,24.53
27.0,0.420110,0.026712,24.53
27.5,0.420325,0.026740,24.53
28.0,0.420540,0.026768,24.53
28.5,0.420755,0.026796,24.53
29.0,0.420970,0.026824,24.53
29.5,0.421185,0.026852,24.53
30.0,0.421400,0.026880,24.53
30.5,0.421615,0.026908,24.53
31.0,0.421830,0.026936,24.53
31.5,0.422045,0.026964,24.53
32.0,0.422260,0.026992,24.53
32.5,0.422475,0.027020,24.53
33.0,0.422690,0.027048,24.53
33.5,0.422905,0.027076,24.53
34.0,0.423120,0.027104,24.53
34.5,0.423335,0.027132,24.53
35.0,0.423550,0.027160,24.54
35.5,0.423765,0.027188,24.54
36.0,0.423980,0.027216,24.54
36.5,0.424195,0.027244,24.54
37.0,0.424410,0.027272,24.54
