 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.399950,0.034200,24.50
0.5,0.400160,0.034238,24.50
1.0,0.400371,0.034276,24.50
1.5,0.400581,0.034314,24.50
2.0,0.400792,0.034352,24.50
2.5,0.401002,0.034390,24.50
3.0,0.401213,0.034428,24.50
3.5,0.401423,0.034466,24.50
4.0,0.401634,0.034504,24.50
4.5,0.401844,0.034542,24.50
5.0,0.402055,0.034580,24.50
5.5,0.402265,0.034618,24.51
6.0,0.402476,0.034656,24.51
6.5,0.402686,0.034694,24.51
7.0,0.402897,0.034732,24.51
7.5,0.403107,0.034770,24.51
8.0,0.403318,0.034808,24.51
8.5,0.403528,0.034846,24.51
9.0,0.403739,0.034884,24.51
9.5,0.403949,0.034922,24.51
10.0,0.404160,0.034960,24.51
10.5,0.404370,0.034998,24.51
11.0,0.404581,0.035036,24.51
11.5,0.404791,0.035074,24.51
12.0,0.405002,0.035112,24.51
12.5,0.405212,0.035150,24.51
13.0,0.405423,0.035188,24.51
13.5,0.405633,0.035226,24.51
14.0,0.405844,0.035264,24.51
14.5,0.406054,0.035302,24.51
15.0,0.406265,0.035340,24.52
15.5,0.406475,0.035378,24.52
16.0,0.406686,0.035416,24.52
16.5,0.406896,0.035454,24.52
17.0,0.407107,0.035492,24.52
17.5,0.407317,0.035530,24.52
18.0,0.407528,0.035568,24.52
18.5,0.407738,0.035606,24.52
19.0,0.407949,0.035644,24.52
19.5,0.408159,0.035682,24.52
20.0,0.408370,0.035720,24.52
20.5,0.408580,0.035758,24.52
21.0,0.408791,0.035796,24.52
21.5,0.409001,0.035834,24.52
22.0,0.409212,0.035872,24.52
22.5,0.409422,0.035910,24.52
23.0,0.409633,0.035948,24.52
23.5,0.409843,0.035986,24.52
24.0,0.410054,0.036024,24.52
24.5,0.410264,0.036062,24.52
25.0,0.410475,0.036100,24.52
25.5,0.410685,0.036138,24.53
26.0,0.410896,0.036176,24.53
26.5,0.411106,0.036214,24.53
27.0,0.411317,0.036252,24.53
27.5,0.411527,0.036290,24.53
28.0,0.411738,0.036328,24.53
28.5,0.411948,0.036366,24.53
29.0,0.412159,0.036404,24.53
29.5,0.412369,0.036442,24.53
30.0,0.412580,0.036480,24.53
30.5,0.412790,0.036518,24.53
31.0,0.413001,0.036556,24.53
31.5,0.413211,0.036594,24.53
32.0,0.413422,0.036632,24.53
32.5,0.413632,0.036670,24.53
33.0,0.413843,0.036708,24.53
33.5,0.414053,0.036746,24.53
34.0,0.414264,0.036784,24.53
34.5,0.414474,0.036822,24.53
35.0,0.414685,0.036860,24.54
35.5,0.414895,0.036898,24.54
36.0,0.415106,0.036936,24.54
36.5,0.415316,0.036974,24.54
37.0,0.415527,0.037012,24.54
37.5,0.415737,0.037050,24.54
38.0,0.415948,0.037088,24.54
38.5,0.416158,0.037126,24.54
39.0,0.416369,0.037164,24.54
39.5,0.416579,0.037202,24.54
40.0,0.416790,0.037240,24.54
40.5,0.417000,0.037278,24.54
41.0,0.417211,0.037316,24.54
41.5,0.417421,0.037354,24.54
42.0,0.417632,0.037392,24.54
42.5,0.417842,0.037430,24.54
43.0,0.418053,0.037468,24.54
43.5,0.418263,0.037506,24.54
44.0,0.418474,0.037544,24.54
44.5,0.418684,0.037582,24.54
45.0,0.418895,0.037620,24.55
45.5,0.419105,0.037658,24.55
46.0,0.419316,0.037696,24.55
46.5,0.419526,0.037734,24.55
47.0,0.419737,0.037772,24.55
47.5,0.419947,0.037810,24.55
48.0,0.420158,0.037848,24.55
48.5,0.420368,0.037886,24.55
49.0,0.420579,0.037924,24.55
49.5,0.420789,0.037962,24.55
50.0,0.421000,0.038000,24.55
50.5,0.421210,0.038038,24.55
51.0,0.421421,0.038076,24.55
51.5,0.421631,0.038114,24.55
52.0,0.421842,0.038152,24.55
52.5,0.422052,0.038190,24.55
53.0,0.422263,0.038228,24.55
53.5,0.422474,0.038266,24.55
54.0,0.422684,0.038304,24.55
54.5,0.422894,0.038342,24.55
55.0,0.423105,0.038380,24.55
55.5,0.423316,0.038418,24.56
56.0,0.423526,0.038456,24.56
56.5,0.423736,0.038494,24.56
57.0,0.423947,0.038532,24.56
57.5,0.424157,0.038570,24.56
58.0,0.424368,0.038608,24.56
58.5,0.424578,0.038646,24.56
59.0,0.424789,0.038684,24.56
59.5,0.425000,0.038722,24.56
60.0,0.425210,0.038760,24.56
60.5,0.425420,0.038798,24.56
61.0,0.425631,0.038836,24.56
61.5,0.425841,0.038874,24.56
62.0,0.426052,0.038912,24.56
62.5,0.426262,0.038950,24.56
63.0,0.426473,0.038988,24.56
63.5,0.426683,0.039026,24.56
64.0,0.426894,0.039064,24.56
64.5,0.427104,0.039102,24.56
65.0,0.427315,0.039140,24.57
65.5,0.427525,0.039178,24.57
66.0,0.427736,0.039216,24.57
66.5,0.427946,0.039254,24.57
67.0,0.428157,0.039292,24.57
67.5,0.428368,0.039330,24.57
68.0,0.428578,0.039368,24.57
68.5,0.428788,0.039406,24.57
69.0,0.428999,0.039444,24.57
69.5,0.429209,0.039482,24.57
70.0,0.429420,0.039520,24.57
70.5,0.429630,0.039558,24.57
71.0,0.429841,0.039596,24.57
71.5,0.430051,0.039634,24.57
72.0,0.430262,0.039672,24.57
72.5,0.430472,0.039710,24.57
73.0,0.430683,0.039748,24.57
73.5,0.430893,0.039786,24.57
74.0,0.431104,0.039824,24.57
74.5,0.431314,0.039862,24.57
75.0,0.431525,0.039900,24.57
75.5,0.431735,0.039938,24.58
76.0,0.431946,0.039976,24.58
76.5,0.432156,0.040014,24.58
77.0,0.432367,0.040052,24.58
77.5,0.432577,0.040090,24.58
78.0,0.432788,0.040128,24.58
78.5,0.432998,0.040166,24.58
79.0,0.433209,0.040204,24.58
79.5,0.433420,0.040242,24.58
80.0,0.433630,0.040280,24.58
80.5,0.433840,0.040318,24.58
81.0,0.434051,0.040356,24.58
81.5,0.434261,0.040394,24.58
82.0,0.434472,0.040432,24.58
82.5,0.434682,0.040470,24.58
83.0,0.434893,0.040508,24.58
83.5,0.435103,0.040546,24.58
84.0,0.435314,0.040584,24.58
84.5,0.435524,0.040622,24.58
85.0,0.435735,0.040660,24.59
85.5,0.435945,0.040698,24.59
86.0,0.436156,0.040736,24.59
86.5,0.436366,0.040774,24.59
87.0,0.436577,0.040812,24.59
87.5,0.436787,0.040850,24.59
88.0,0.436998,0.040888,24.59
88.5,0.437208,0.040926,24.59
89.0,0.437419,0.040964,24.59
89.5,0.437629,0.041002,24.59
90.0,0.437840,0.041040,24.59
90.5,0.438050,0.041078,24.59
91.0,0.438261,0.041116,24.59
91.5,0.438471,0.041154,24.59
92.0,0.438682,0.041192,24.59
92.5,0.438892,0.041230,24.59
93.0,0.439103,0.041268,24.59
93.5,0.439313,0.041306,24.59
94.0,0.439524,0.041344,24.59
94.5,0.439734,0.041382,24.59
95.0,0.439945,0.041420,24.59
95.5,0.440155,0.041458,24.60
96.0,0.440366,0.041496,24.60
96.5,0.440576,0.041534,24.60
97.0,0.440787,0.041572,24.60
97.5,0.440997,0.041610,24.60
98.0,0.441208,0.041648,24.60
98.5,0.441418,0.041686,24.60
99.0,0.441629,0.041724,24.60
99.5,0.441839,0.041762,24.60
