时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/9 11:00:00,0,18.2646,16.4381,24.5,0
2026/7/9 11:00:10,0.1407,17.3861,15.6475,24.52,0.1266
2026/7/9 11:00:20,0.2308,23.9441,21.5497,24.52,0.2078
2026/7/9 11:00:30,0.2887,15.846,14.2614,24.6,0.2598
2026/7/9 11:00:40,0.3257,17.6697,15.9027,24.51,0.2932
2026/7/9 11:00:50,0.3495,17.2777,15.5499,24.5,0.3146
2026/7/9 11:01:00,0.3648,16.0628,14.4566,24.58,0.3283
2026/7/9 11:01:10,0.3745,19.6699,17.7029,24.6,0.3371
2026/7/9 11:01:20,0.3808,20.4552,18.4097,24.56,0.3427
2026/7/9 11:01:30,0.4116,12.51,11.259,24.62,0.3704
2026/7/9 11:01:40,0.4094,16.2471,14.6224,24.58,0.3685
2026/7/9 11:01:50,0.4072,15.8261,14.2435,24.6,0.3665
2026/7/9 11:02:00,0.4051,11.7153,10.5438,24.48,0.3646
2026/7/9 11:02:10,0.4029,8.4888,7.6399,24.6,0.3626
2026/7/9 11:02:20,0.4007,9.7365,8.7629,24.63,0.3606
2026/7/9 11:02:30,0.3985,14.0702,12.6632,24.62,0.3587
2026/7/9 11:02:40,0.3964,16.6679,15.0011,24.62,0.3567
2026/7/9 11:02:50,0.3942,14.6392,13.1753,24.62,0.3548
2026/7/9 11:03:00,0.3952,8.34,7.506,24.59,0.3557
2026/7/9 11:03:10,0.391,8.3414,7.5072,24.67,0.3519
2026/7/9 11:03:20,0.3885,8.3424,7.5082,24.63,0.3496
2026/7/9 11:03:30,0.3964,8.343,7.5087,24.52,0.3568
2026/7/9 11:03:40,0.3895,8.3428,7.5086,24.57,0.3506
2026/7/9 11:03:50,0.3917,8.3421,7.5079,24.6,0.3525
2026/7/9 11:04:00,0.3921,8.3408,7.5068,24.61,0.3529
2026/7/9 11:04:10,0.3895,8.3394,7.5055,24.62,0.3506
2026/7/9 11:04:20,0.3917,8.3381,7.5043,24.72,0.3525
2026/7/9 11:04:30,0.3936,8.3373,7.5035,24.68,0.3542
2026/7/9 11:04:40,0.3959,8.337,7.5033,24.68,0.3563
2026/7/9 11:04:50,0.3957,8.3374,7.5037,24.68,0.3561
2026/7/9 11:05:00,0.3958,8.3384,7.5045,24.64,0.3562
2026/7/9 11:05:10,0.3891,8.3397,7.5058,24.67,0.3502
2026/7/9 11:05:20,0.3878,8.3411,7.507,24.58,0.349
2026/7/9 11:05:30,0.3963,8.3423,7.508,24.66,0.3567
2026/7/9 11:05:40,0.3925,8.3429,7.5086,24.75,0.3532
2026/7/9 11:05:50,0.3933,8.3429,7.5086,24.6,0.354
2026/7/9 11:06:00,0.3938,8.3423,7.508,24.6,0.3544
2026/7/9 11:06:10,0.393,8.3411,7.507,24.64,0.3537
2026/7/9 11:06:20,0.3951,8.3397,7.5057,24.62,0.3556
2026/7/9 11:06:30,0.3949,8.3384,7.5045,24.64,0.3554
2026/7/9 11:06:40,0.3906,8.3374,7.5037,24.69,0.3515
2026/7/9 11:06:50,0.3929,8.337,7.5033,24.62,0.3536
2026/7/9 11:07:00,0.3951,8.3373,7.5035,24.69,0.3556
2026/7/9 11:07:10,0.3902,8.3382,7.5043,24.76,0.3512
2026/7/9 11:07:20,0.3897,8.3394,7.5055,24.64,0.3507
2026/7/9 11:07:30,0.3935,8.3409,7.5068,24.64,0.3542
2026/7/9 11:07:40,0.3968,8.3421,7.5079,24.71,0.3571
2026/7/9 11:07:50,0.3894,8.3428,7.5086,24.8,0.3505
2026/7/9 11:08:00,0.394,8.343,7.5087,24.76,0.3546
2026/7/9 11:08:10,0.3929,8.3424,7.5082,24.76,0.3536
2026/7/9 11:08:20,0.3953,8.3414,7.5072,24.77,0.3558
2026/7/9 11:08:30,0.3962,8.34,7.506,24.74,0.3566
2026/7/9 11:08:40,0.3893,8.3386,7.5047,24.75,0.3504
2026/7/9 11:08:50,0.3938,8.3375,7.5038,24.82,0.3544
2026/7/9 11:09:00,0.3922,8.337,7.5033,24.8,0.353
2026/7/9 11:09:10,0.3947,8.3372,7.5035,24.76,0.3552
2026/7/9 11:09:20,0.3882,8.3379,7.5042,24.7,0.3494
2026/7/9 11:09:30,0.3937,8.3392,7.5053,24.84,0.3543
2026/7/9 11:09:40,0.3879,8.3406,7.5065,24.88,0.3491
2026/7/9 11:09:50,0.3903,8.3419,7.5077,24.74,0.3513
