 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.405650,0.026100,24.50
0.5,0.405863,0.026129,24.50
1.0,0.406077,0.026158,24.50
1.5,0.406290,0.026187,24.50
2.0,0.406504,0.026216,24.50
2.5,0.406717,0.026245,24.50
3.0,0.406931,0.026274,24.50
3.5,0.407144,0.026303,24.50
4.0,0.407358,0.026332,24.50
4.5,0.407571,0.026361,24.50
5.0,0.407785,0.026390,24.50
5.5,0.407998,0.026419,24.51
6.0,0.408212,0.026448,24.51
6.5,0.408425,0.026477,24.51
7.0,0.408639,0.026506,24.51
7.5,0.408852,0.026535,24.51
8.0,0.409066,0.026564,24.51
8.5,0.409279,0.026593,24.51
9.0,0.409493,0.026622,24.51
9.5,0.409706,0.026651,24.51
10.0,0.409920,0.026680,24.51
10.5,0.410133,0.026709,24.51
11.0,0.410347,0.026738,24.51
11.5,0.410560,0.026767,24.51
12.0,0.410774,0.026796,24.51
12.5,0.410987,0.026825,24.51
13.0,0.411201,0.026854,24.51
13.5,0.411414,0.026883,24.51
14.0,0.411628,0.026912,24.51
14.5,0.411841,0.026941,24.51
15.0,0.412055,0.026970,24.52
15.5,0.412268,0.026999,24.52
16.0,0.412482,0.027028,24.52
16.5,0.412695,0.027057,24.52
17.0,0.412909,0.027086,24.52
17.5,0.413122,0.027115,24.52
18.0,0.413336,0.027144,24.52
18.5,0.413549,0.027173,24.52
19.0,0.413763,0.027202,24.52
19.5,0.413976,0.027231,24.52
20.0,0.414190,0.027260,24.52
20.5,0.414403,0.027289,24.52
21.0,0.414617,0.027318,24.52
21.5,0.414830,0.027347,24.52
22.0,0.415044,0.027376,24.52
22.5,0.415257,0.027405,24.52
23.0,0.415471,0.027434,24.52
23.5,0.415684,0.027463,24.52
24.0,0.415898,0.027492,24.52
24.5,0.416111,0.027521,24.52
25.0,0.416325,0.027550,24.52
25.5,0.416538,0.027579,24.53
26.0,0.416752,0.027608,24.53
26.5,0.416965,0.027637,24.53
27.0,0.417179,0.027666,24.53
27.5,0.417392,0.027695,24.53
28.0,0.417606,0.027724,24.53
28.5,0.417819,0.027753,24.53
29.0,0.418033,0.027782,24.53
29.5,0.418246,0.027811,24.53
30.0,0.418460,0.027840,24.53
30.5,0.418673,0.027869,24.53
31.0,0.418887,0.027898,24.53
31.5,0.419100,0.027927,24.53
32.0,0.419314,0.027956,24.53
32.5,0.419527,0.027985,24.53
33.0,0.419741,0.028014,24.53
33.5,0.419954,0.028043,24.53
34.0,0.420168,0.028072,24.53
34.5,0.420381,0.028101,24.53
35.0,0.420595,0.028130,24.54
35.5,0.420808,0.028159,24.54
36.0,0.421022,0.028188,24.54
36.5,0.421235,0.028217,24.54
37.0,0.421449,0.028246,24.54
