导出时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R,时间s
2026/7/11 10:22,0.000232,0,0,23.139524,0,0.2
2026/7/11 10:22,0.000236,0,0,23.139524,0,0.4
2026/7/11 10:22,0.000232,0,0,23.139524,0,0.6
2026/7/11 10:22,0.000236,0,0,23.139524,0,0.8
2026/7/11 10:22,0.000236,0,0,23.139524,0,1
2026/7/11 10:22,0.000232,0,0,23.139524,0,1.2
2026/7/11 10:22,0.000232,0,0,23.139524,0,1.4
2026/7/11 10:22,0.000232,0,0,23.139524,0,1.6
2026/7/11 10:22,0.000232,0,0,23.139524,0,1.8
2026/7/11 10:22,0.000236,0,0,23.139524,0,2
2026/7/11 10:22,0.000232,0,0,23.139524,0,2.2
2026/7/11 10:22,0.000232,0,0,23.139524,0,2.4
2026/7/11 10:22,0.000236,0,0,23.139524,0,2.6
2026/7/11 10:22,0.000236,0,0,23.139524,0,2.8
2026/7/11 10:22,0.000236,0,0,23.139524,0,3
2026/7/11 10:22,0.000232,0,0,23.139524,0,3.2
2026/7/11 10:22,0.000232,0,0,23.021975,0,3.4
2026/7/11 10:22,0.000236,0,0,23.139524,0,3.6
2026/7/11 10:22,0.000236,0,0,23.139524,0,3.8
2026/7/11 10:22,0.000236,0,0,23.139524,0,4
2026/7/11 10:22,0.000232,0,0,23.139524,0,4.2
2026/7/11 10:22,0.000232,0,0,23.139524,0,4.4
2026/7/11 10:22,0.000232,0,0,23.139524,0,4.6
2026/7/11 10:22,0.000232,0,0,23.139524,0,4.8
2026/7/11 10:22,0.000236,0,0,23.139524,0,5
2026/7/11 10:22,0.000236,0,0,23.139524,0,5.2
2026/7/11 10:22,0.000232,0,0,23.139524,0,5.4
2026/7/11 10:22,0.00032,0,0,23.139524,0,5.6
2026/7/11 10:22,0.000367,0,0,23.139524,0,5.8
2026/7/11 10:22,0.000387,1,0,23.139524,0,6
2026/7/11 10:22,0.000391,1,0,23.139524,0,6.2
2026/7/11 10:22,0.000391,0,0,23.139524,0,6.4
2026/7/11 10:22,0.000387,0,0,23.139524,0,6.6
2026/7/11 10:22,0.000391,1,0,23.139524,0,6.8
2026/7/11 10:22,0.000391,0,0,23.139524,0,7
2026/7/11 10:22,0.000391,0,0,23.139524,0,7.2
2026/7/11 10:22,0.000391,0,0,23.139524,0,7.4
2026/7/11 10:22,0.000391,0,0,23.139524,0,7.6
2026/7/11 10:22,0.000391,1,0,23.139524,0,7.8
2026/7/11 10:22,0.000391,1,0,23.139524,0,8
2026/7/11 10:22,0.000387,1,0,23.139524,0,8.2
2026/7/11 10:22,0.000387,1,0,23.139524,0,8.4
2026/7/11 10:22,0.000391,1,0,23.139524,0,8.6
2026/7/11 10:22,0.000391,1,0,23.139524,0,8.8
2026/7/11 10:22,0.000391,1,0,23.139524,0,9
2026/7/11 10:22,0.000387,1,0,23.139524,0,9.2
2026/7/11 10:22,0.000391,1,0,23.139524,0,9.4
2026/7/11 10:22,0.000391,1,0,23.139524,0,9.6
2026/7/11 10:22,0.000387,1,0,23.139524,0,9.8
2026/7/11 10:22,0.000391,1,0,23.139524,0,10
2026/7/11 10:22,0.000387,1,0,23.139524,0,10.2
2026/7/11 10:22,0.000391,1,0,23.139524,0,10.4
2026/7/11 10:22,0.000391,2,0,23.139524,0,10.6
2026/7/11 10:22,0.000391,2,0,23.139524,0,10.8
2026/7/11 10:22,0.000391,1,0,23.139524,0,11
2026/7/11 10:22,0.000391,2,0,23.139524,0,11.2
2026/7/11 10:22,0.000391,2,0,23.139524,0,11.4
2026/7/11 10:22,0.000391,2,0,23.139524,0,11.6
2026/7/11 10:22,0.000391,2,0,23.139524,0,11.8
2026/7/11 10:22,0.000387,2,0,23.139524,0,12
2026/7/11 10:22,0.000391,2,0,23.139524,0,12.2
2026/7/11 10:22,0.000387,2,0,23.139524,0,12.4
