 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.407550,0.017100,24.50
0.5,0.407764,0.017119,24.50
1.0,0.407979,0.017138,24.50
1.5,0.408193,0.017157,24.50
2.0,0.408408,0.017176,24.50
2.5,0.408622,0.017195,24.50
3.0,0.408837,0.017214,24.50
3.5,0.409051,0.017233,24.50
4.0,0.409266,0.017252,24.50
4.5,0.409480,0.017271,24.50
5.0,0.409695,0.017290,24.50
5.5,0.409909,0.017309,24.51
6.0,0.410124,0.017328,24.51
6.5,0.410338,0.017347,24.51
7.0,0.410553,0.017366,24.51
7.5,0.410767,0.017385,24.51
8.0,0.410982,0.017404,24.51
8.5,0.411196,0.017423,24.51
9.0,0.411411,0.017442,24.51
9.5,0.411625,0.017461,24.51
10.0,0.411840,0.017480,24.51
10.5,0.412054,0.017499,24.51
11.0,0.412269,0.017518,24.51
11.5,0.412483,0.017537,24.51
12.0,0.412698,0.017556,24.51
12.5,0.412912,0.017575,24.51
13.0,0.413127,0.017594,24.51
13.5,0.413341,0.017613,24.51
14.0,0.413556,0.017632,24.51
14.5,0.413770,0.017651,24.51
15.0,0.413985,0.017670,24.52
15.5,0.414199,0.017689,24.52
16.0,0.414414,0.017708,24.52
16.5,0.414628,0.017727,24.52
17.0,0.414843,0.017746,24.52
17.5,0.415057,0.017765,24.52
18.0,0.415272,0.017784,24.52
18.5,0.415486,0.017803,24.52
19.0,0.415701,0.017822,24.52
19.5,0.415915,0.017841,24.52
20.0,0.416130,0.017860,24.52
20.5,0.416344,0.017879,24.52
21.0,0.416559,0.017898,24.52
21.5,0.416773,0.017917,24.52
22.0,0.416988,0.017936,24.52
22.5,0.417202,0.017955,24.52
23.0,0.417417,0.017974,24.52
23.5,0.417631,0.017993,24.52
24.0,0.417846,0.018012,24.52
24.5,0.418060,0.018031,24.52
25.0,0.418275,0.018050,24.52
25.5,0.418489,0.018069,24.53
26.0,0.418704,0.018088,24.53
26.5,0.418918,0.018107,24.53
27.0,0.419133,0.018126,24.53
27.5,0.419347,0.018145,24.53
28.0,0.419562,0.018164,24.53
28.5,0.419776,0.018183,24.53
29.0,0.419991,0.018202,24.53
29.5,0.420205,0.018221,24.53
30.0,0.420420,0.018240,24.53
30.5,0.420634,0.018259,24.53
31.0,0.420849,0.018278,24.53
31.5,0.421063,0.018297,24.53
32.0,0.421278,0.018316,24.53
32.5,0.421492,0.018335,24.53
33.0,0.421707,0.018354,24.53
33.5,0.421921,0.018373,24.53
34.0,0.422136,0.018392,24.53
34.5,0.422350,0.018411,24.53
35.0,0.422565,0.018430,24.54
35.5,0.422779,0.018449,24.54
36.0,0.422994,0.018468,24.54
36.5,0.423208,0.018487,24.54
37.0,0.423423,0.018506,24.54
37.5,0.423637,0.018525,24.54
38.0,0.423852,0.018544,24.54
38.5,0.424066,0.018563,24.54
39.0,0.424281,0.018582,24.54
39.5,0.424495,0.018601,24.54
40.0,0.424710,0.018620,24.54
40.5,0.424924,0.018639,24.54
41.0,0.425139,0.018658,24.54
41.5,0.425353,0.018677,24.54
42.0,0.425568,0.018696,24.54
42.5,0.425782,0.018715,24.54
43.0,0.425997,0.018734,24.54
43.5,0.426211,0.018753,24.54
44.0,0.426426,0.018772,24.54
44.5,0.426640,0.018791,24.54
45.0,0.426855,0.018810,24.55
45.5,0.427069,0.018829,24.55
46.0,0.427284,0.018848,24.55
46.5,0.427498,0.018867,24.55
47.0,0.427713,0.018886,24.55
47.5,0.427927,0.018905,24.55
48.0,0.428142,0.018924,24.55
48.5,0.428356,0.018943,24.55
49.0,0.428571,0.018962,24.55
49.5,0.428785,0.018981,24.55
50.0,0.429000,0.019000,24.55
50.5,0.429214,0.019019,24.55
51.0,0.429429,0.019038,24.55
51.5,0.429644,0.019057,24.55
52.0,0.429858,0.019076,24.55
52.5,0.430072,0.019095,24.55
53.0,0.430287,0.019114,24.55
53.5,0.430502,0.019133,24.55
54.0,0.430716,0.019152,24.55
54.5,0.430930,0.019171,24.55
55.0,0.431145,0.019190,24.55
55.5,0.431360,0.019209,24.56
56.0,0.431574,0.019228,24.56
56.5,0.431788,0.019247,24.56
57.0,0.432003,0.019266,24.56
57.5,0.432217,0.019285,24.56
58.0,0.432432,0.019304,24.56
58.5,0.432646,0.019323,24.56
59.0,0.432861,0.019342,24.56
59.5,0.433076,0.019361,24.56
60.0,0.433290,0.019380,24.56
60.5,0.433504,0.019399,24.56
61.0,0.433719,0.019418,24.56
61.5,0.433933,0.019437,24.56
62.0,0.434148,0.019456,24.56
62.5,0.434362,0.019475,24.56
63.0,0.434577,0.019494,24.56
63.5,0.434791,0.019513,24.56
