时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/11 08:00:00,0,7.4496,6.7046,24.54,0
2026/7/11 08:00:10,0.1417,5.4626,4.9164,24.49,0.1276
2026/7/11 08:00:20,0.2326,6.6321,5.9689,24.42,0.2093
2026/7/11 08:00:30,0.2909,6.4691,5.8222,24.44,0.2618
2026/7/11 08:00:40,0.3282,7.0724,6.3652,24.52,0.2954
2026/7/11 08:00:50,0.3522,6.9931,6.2938,24.49,0.317
2026/7/11 08:01:00,0.3676,4.7693,4.2924,24.44,0.3308
2026/7/11 08:01:10,0.3774,5.382,4.8438,24.48,0.3397
2026/7/11 08:01:20,0.3837,5.591,5.0319,24.54,0.3453
2026/7/11 08:01:30,0.4148,3.84,3.456,24.6,0.3733
2026/7/11 08:01:40,0.4126,4.9871,4.4884,24.48,0.3713
2026/7/11 08:01:50,0.4104,4.8579,4.3721,24.56,0.3693
2026/7/11 08:02:00,0.4082,3.5961,3.2365,24.6,0.3674
2026/7/11 08:02:10,0.406,2.6057,2.3451,24.64,0.3654
2026/7/11 08:02:20,0.4038,2.9887,2.6898,24.55,0.3634
2026/7/11 08:02:30,0.4016,4.3189,3.887,24.58,0.3614
2026/7/11 08:02:40,0.3994,5.1163,4.6047,24.63,0.3595
2026/7/11 08:02:50,0.3972,4.4936,4.0442,24.52,0.3575
2026/7/11 08:03:00,0.3983,2.56,2.304,24.67,0.3585
2026/7/11 08:03:10,0.3952,2.5614,2.3052,24.58,0.3557
2026/7/11 08:03:20,0.3933,2.5624,2.3062,24.51,0.354
2026/7/11 08:03:30,0.3921,2.563,2.3067,24.58,0.3529
2026/7/11 08:03:40,0.3974,2.5628,2.3066,24.65,0.3577
2026/7/11 08:03:50,0.3961,2.5621,2.3059,24.69,0.3565
2026/7/11 08:04:00,0.3946,2.5608,2.3048,24.62,0.3551
2026/7/11 08:04:10,0.3932,2.5594,2.3035,24.52,0.3539
2026/7/11 08:04:20,0.3946,2.5581,2.3023,24.66,0.3551
2026/7/11 08:04:30,0.3982,2.5573,2.3015,24.56,0.3584
2026/7/11 08:04:40,0.3921,2.557,2.3013,24.7,0.3529
2026/7/11 08:04:50,0.3912,2.5574,2.3017,24.54,0.3521
2026/7/11 08:05:00,0.3916,2.5584,2.3025,24.65,0.3524
2026/7/11 08:05:10,0.395,2.5597,2.3038,24.66,0.3555
2026/7/11 08:05:20,0.3948,2.5611,2.305,24.6,0.3553
2026/7/11 08:05:30,0.3926,2.5623,2.306,24.64,0.3533
2026/7/11 08:05:40,0.3929,2.5629,2.3066,24.69,0.3536
2026/7/11 08:05:50,0.3912,2.5629,2.3066,24.62,0.3521
2026/7/11 08:06:00,0.3945,2.5623,2.306,24.7,0.3551
2026/7/11 08:06:10,0.3925,2.5611,2.305,24.65,0.3532
2026/7/11 08:06:20,0.398,2.5597,2.3037,24.7,0.3582
2026/7/11 08:06:30,0.3947,2.5584,2.3025,24.68,0.3552
2026/7/11 08:06:40,0.3985,2.5574,2.3017,24.73,0.3587
2026/7/11 08:06:50,0.398,2.557,2.3013,24.76,0.3582
2026/7/11 08:07:00,0.397,2.5573,2.3015,24.66,0.3573
2026/7/11 08:07:10,0.39,2.5582,2.3023,24.74,0.351
2026/7/11 08:07:20,0.3966,2.5594,2.3035,24.74,0.3569
2026/7/11 08:07:30,0.39,2.5609,2.3048,24.76,0.351
2026/7/11 08:07:40,0.3982,2.5621,2.3059,24.72,0.3584
2026/7/11 08:07:50,0.3984,2.5628,2.3066,24.74,0.3586
2026/7/11 08:08:00,0.39,2.563,2.3067,24.81,0.351
2026/7/11 08:08:10,0.398,2.5624,2.3062,24.82,0.3582
2026/7/11 08:08:20,0.3954,2.5614,2.3052,24.73,0.3559
2026/7/11 08:08:30,0.3958,2.56,2.304,24.72,0.3562
2026/7/11 08:08:40,0.3914,2.5586,2.3027,24.68,0.3523
2026/7/11 08:08:50,0.3945,2.5575,2.3018,24.8,0.3551
2026/7/11 08:09:00,0.3953,2.557,2.3013,24.72,0.3558
2026/7/11 08:09:10,0.3931,2.5572,2.3015,24.76,0.3538
2026/7/11 08:09:20,0.3934,2.5579,2.3022,24.78,0.3541
2026/7/11 08:09:30,0.3947,2.5592,2.3033,24.7,0.3552
2026/7/11 08:09:40,0.3993,2.5606,2.3045,24.84,0.3594
2026/7/11 08:09:50,0.3965,2.5619,2.3057,24.88,0.3568
