 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.408500,0.013500,24.50
0.5,0.408715,0.013515,24.50
1.0,0.408930,0.013530,24.50
1.5,0.409145,0.013545,24.50
2.0,0.409360,0.013560,24.50
2.5,0.409575,0.013575,24.50
3.0,0.409790,0.013590,24.50
3.5,0.410005,0.013605,24.50
4.0,0.410220,0.013620,24.50
4.5,0.410435,0.013635,24.50
5.0,0.410650,0.013650,24.50
5.5,0.410865,0.013665,24.51
6.0,0.411080,0.013680,24.51
6.5,0.411295,0.013695,24.51
7.0,0.411510,0.013710,24.51
7.5,0.411725,0.013725,24.51
8.0,0.411940,0.013740,24.51
8.5,0.412155,0.013755,24.51
9.0,0.412370,0.013770,24.51
9.5,0.412585,0.013785,24.51
10.0,0.412800,0.013800,24.51
10.5,0.413015,0.013815,24.51
11.0,0.413230,0.013830,24.51
11.5,0.413445,0.013845,24.51
12.0,0.413660,0.013860,24.51
12.5,0.413875,0.013875,24.51
13.0,0.414090,0.013890,24.51
13.5,0.414305,0.013905,24.51
14.0,0.414520,0.013920,24.51
14.5,0.414735,0.013935,24.51
15.0,0.414950,0.013950,24.52
15.5,0.415165,0.013965,24.52
16.0,0.415380,0.013980,24.52
16.5,0.415595,0.013995,24.52
17.0,0.415810,0.014010,24.52
17.5,0.416025,0.014025,24.52
18.0,0.416240,0.014040,24.52
18.5,0.416455,0.014055,24.52
19.0,0.416670,0.014070,24.52
19.5,0.416885,0.014085,24.52
20.0,0.417100,0.014100,24.52
20.5,0.417315,0.014115,24.52
21.0,0.417530,0.014130,24.52
21.5,0.417745,0.014145,24.52
22.0,0.417960,0.014160,24.52
22.5,0.418175,0.014175,24.52
23.0,0.418390,0.014190,24.52
23.5,0.418605,0.014205,24.52
24.0,0.418820,0.014220,24.52
24.5,0.419035,0.014235,24.52
25.0,0.419250,0.014250,24.52
25.5,0.419465,0.014265,24.53
26.0,0.419680,0.014280,24.53
26.5,0.419895,0.014295,24.53
27.0,0.420110,0.014310,24.53
27.5,0.420325,0.014325,24.53
28.0,0.420540,0.014340,24.53
28.5,0.420755,0.014355,24.53
29.0,0.420970,0.014370,24.53
29.5,0.421185,0.014385,24.53
30.0,0.421400,0.014400,24.53
30.5,0.421615,0.014415,24.53
31.0,0.421830,0.014430,24.53
31.5,0.422045,0.014445,24.53
32.0,0.422260,0.014460,24.53
32.5,0.422475,0.014475,24.53
33.0,0.422690,0.014490,24.53
33.5,0.422905,0.014505,24.53
34.0,0.423120,0.014520,24.53
34.5,0.423335,0.014535,24.53
35.0,0.423550,0.014550,24.54
35.5,0.423765,0.014565,24.54
36.0,0.423980,0.014580,24.54
36.5,0.424195,0.014595,24.54
37.0,0.424410,0.014610,24.54
37.5,0.424625,0.014625,24.54
38.0,0.424840,0.014640,24.54
38.5,0.425055,0.014655,24.54
39.0,0.425270,0.014670,24.54
39.5,0.425485,0.014685,24.54
40.0,0.425700,0.014700,24.54
40.5,0.425915,0.014715,24.54
41.0,0.426130,0.014730,24.54
41.5,0.426345,0.014745,24.54
42.0,0.426560,0.014760,24.54
42.5,0.426775,0.014775,24.54
43.0,0.426990,0.014790,24.54
43.5,0.427205,0.014805,24.54
44.0,0.427420,0.014820,24.54
44.5,0.427635,0.014835,24.54
45.0,0.427850,0.014850,24.55
45.5,0.428065,0.014865,24.55
46.0,0.428280,0.014880,24.55
46.5,0.428495,0.014895,24.55
47.0,0.428710,0.014910,24.55
47.5,0.428925,0.014925,24.55
48.0,0.429140,0.014940,24.55
48.5,0.429355,0.014955,24.55
49.0,0.429570,0.014970,24.55
49.5,0.429785,0.014985,24.55
50.0,0.430000,0.015000,24.55
50.5,0.430215,0.015015,24.55
51.0,0.430430,0.015030,24.55
51.5,0.430645,0.015045,24.55
52.0,0.430860,0.015060,24.55
52.5,0.431075,0.015075,24.55
53.0,0.431290,0.015090,24.55
53.5,0.431505,0.015105,24.55
54.0,0.431720,0.015120,24.55
54.5,0.431935,0.015135,24.55
55.0,0.432150,0.015150,24.55
55.5,0.432365,0.015165,24.56
56.0,0.432580,0.015180,24.56
56.5,0.432795,0.015195,24.56
57.0,0.433010,0.015210,24.56
57.5,0.433225,0.015225,24.56
58.0,0.433440,0.015240,24.56
58.5,0.433655,0.015255,24.56
59.0,0.433870,0.015270,24.56
59.5,0.434085,0.015285,24.56
60.0,0.434300,0.015300,24.56
60.5,0.434515,0.015315,24.56
61.0,0.434730,0.015330,24.56
61.5,0.434945,0.015345,24.56
62.0,0.435160,0.015360,24.56
62.5,0.435375,0.015375,24.56
63.0,0.435590,0.015390,24.56
63.5,0.435805,0.015405,24.56
64.0,0.436020,0.015420,24.56
64.5,0.436235,0.015435,24.56
65.0,0.436450,0.015450,24.57
65.5,0.436665,0.015465,24.57
66.0,0.436880,0.015480,24.57
66.5,0.437095,0.015495,24.57
67.0,0.437310,0.015510,24.57
67.5,0.437525,0.015525,24.57
68.0,0.437740,0.015540,24.57
68.5,0.437955,0.015555,24.57
69.0,0.438170,0.015570,24.57
69.5,0.438385,0.015585,24.57
70.0,0.438600,0.015600,24.57
70.5,0.438815,0.015615,24.57
71.0,0.439030,0.015630,24.57
71.5,0.439245,0.015645,24.57
72.0,0.439460,0.015660,24.57
72.5,0.439675,0.015675,24.57
73.0,0.439890,0.015690,24.57
73.5,0.440105,0.015705,24.57
74.0,0.440320,0.015720,24.57
74.5,0.440535,0.015735,24.57
75.0,0.440750,0.015750,24.57
75.5,0.440965,0.015765,24.58
76.0,0.441180,0.015780,24.58
76.5,0.441395,0.015795,24.58
77.0,0.441610,0.015810,24.58
77.5,0.441825,0.015825,24.58
78.0,0.442040,0.015840,24.58
78.5,0.442255,0.015855,24.58
79.0,0.442470,0.015870,24.58
79.5,0.442685,0.015885,24.58
80.0,0.442900,0.015900,24.58
80.5,0.443115,0.015915,24.58
81.0,0.443330,0.015930,24.58
81.5,0.443545,0.015945,24.58
82.0,0.443760,0.015960,24.58
82.5,0.443975,0.015975,24.58
83.0,0.444190,0.015990,24.58
83.5,0.444405,0.016005,24.58
84.0,0.444620,0.016020,24.58
84.5,0.444835,0.016035,24.58
85.0,0.445050,0.016050,24.59
85.5,0.445265,0.016065,24.59
86.0,0.445480,0.016080,24.59
86.5,0.445695,0.016095,24.59
87.0,0.445910,0.016110,24.59
87.5,0.446125,0.016125,24.59
88.0,0.446340,0.016140,24.59
88.5,0.446555,0.016155,24.59
89.0,0.446770,0.016170,24.59
89.5,0.446985,0.016185,24.59
90.0,0.447200,0.016200,24.59
90.5,0.447415,0.016215,24.59
91.0,0.447630,0.016230,24.59
91.5,0.447845,0.016245,24.59
92.0,0.448060,0.016260,24.59
92.5,0.448275,0.016275,24.59
93.0,0.448490,0.016290,24.59
93.5,0.448705,0.016305,24.59
94.0,0.448920,0.016320,24.59
94.5,0.449135,0.016335,24.59
95.0,0.449350,0.016350,24.59
95.5,0.449565,0.016365,24.60
96.0,0.449780,0.016380,24.60
96.5,0.449995,0.016395,24.60
97.0,0.450210,0.016410,24.60
97.5,0.450425,0.016425,24.60
