时间,实时压力P1,瞬时流量M1,瞬时流量M2,温度T_R,压力P2_R
2026/7/1 10:15:00,0,16.476,14.8284,24.59,0
2026/7/1 10:15:10,0.1525,13.3388,12.0049,24.6,0.1372
2026/7/1 10:15:20,0.2503,12.7534,11.4781,24.44,0.2252
2026/7/1 10:15:30,0.313,12.0628,10.8565,24.44,0.2817
2026/7/1 10:15:40,0.3532,13.123,11.8107,24.5,0.3179
2026/7/1 10:15:50,0.3789,11.5828,10.4245,24.56,0.341
2026/7/1 10:16:00,0.3955,13.3233,11.991,24.47,0.3559
2026/7/1 10:16:10,0.4061,16.0311,14.428,24.58,0.3655
2026/7/1 10:16:20,0.4129,11.112,10.0008,24.59,0.3716
2026/7/1 10:16:30,0.4462,9.291,8.3619,24.49,0.4016
2026/7/1 10:16:40,0.4439,12.0665,10.8599,24.62,0.3995
2026/7/1 10:16:50,0.4415,11.7538,10.5784,24.6,0.3974
2026/7/1 10:17:00,0.4392,8.7008,7.8307,24.62,0.3953
2026/7/1 10:17:10,0.4368,6.3045,5.6741,24.48,0.3931
2026/7/1 10:17:20,0.4344,7.2312,6.5081,24.51,0.391
2026/7/1 10:17:30,0.4321,10.4497,9.4048,24.64,0.3889
2026/7/1 10:17:40,0.4297,12.379,11.1411,24.61,0.3868
2026/7/1 10:17:50,0.4274,10.8723,9.7851,24.6,0.3846
2026/7/1 10:18:00,0.424,6.194,5.5746,24.52,0.3816
2026/7/1 10:18:10,0.4258,6.1954,5.5758,24.52,0.3832
2026/7/1 10:18:20,0.4216,6.1964,5.5768,24.68,0.3794
2026/7/1 10:18:30,0.4283,6.197,5.5773,24.68,0.3855
2026/7/1 10:18:40,0.4269,6.1968,5.5772,24.6,0.3842
2026/7/1 10:18:50,0.4225,6.1961,5.5765,24.56,0.3802
2026/7/1 10:19:00,0.4228,6.1948,5.5754,24.55,0.3805
2026/7/1 10:19:10,0.4236,6.1934,5.5741,24.6,0.3812
2026/7/1 10:19:20,0.4289,6.1921,5.5729,24.63,0.386
2026/7/1 10:19:30,0.4258,6.1913,5.5721,24.6,0.3832
2026/7/1 10:19:40,0.4202,6.191,5.5719,24.64,0.3782
2026/7/1 10:19:50,0.4245,6.1914,5.5723,24.64,0.382
2026/7/1 10:20:00,0.4292,6.1924,5.5731,24.62,0.3863
2026/7/1 10:20:10,0.4295,6.1937,5.5744,24.64,0.3866
2026/7/1 10:20:20,0.4244,6.1951,5.5756,24.73,0.382
2026/7/1 10:20:30,0.4225,6.1963,5.5766,24.74,0.3802
2026/7/1 10:20:40,0.4215,6.1969,5.5772,24.74,0.3794
2026/7/1 10:20:50,0.4209,6.1969,5.5772,24.76,0.3788
2026/7/1 10:21:00,0.4239,6.1963,5.5766,24.61,0.3815
2026/7/1 10:21:10,0.4284,6.1951,5.5756,24.66,0.3856
2026/7/1 10:21:20,0.4249,6.1937,5.5743,24.69,0.3824
2026/7/1 10:21:30,0.4209,6.1924,5.5731,24.76,0.3788
2026/7/1 10:21:40,0.4237,6.1914,5.5723,24.69,0.3813
2026/7/1 10:21:50,0.4297,6.191,5.5719,24.7,0.3867
2026/7/1 10:22:00,0.4243,6.1913,5.5721,24.69,0.3819
2026/7/1 10:22:10,0.4251,6.1922,5.5729,24.68,0.3826
2026/7/1 10:22:20,0.4265,6.1934,5.5741,24.63,0.3839
2026/7/1 10:22:30,0.4269,6.1949,5.5754,24.65,0.3842
2026/7/1 10:22:40,0.4261,6.1961,5.5765,24.82,0.3835
2026/7/1 10:22:50,0.4208,6.1968,5.5772,24.64,0.3787
2026/7/1 10:23:00,0.4245,6.197,5.5773,24.73,0.382
2026/7/1 10:23:10,0.4256,6.1964,5.5768,24.82,0.383
2026/7/1 10:23:20,0.4243,6.1954,5.5758,24.7,0.3819
2026/7/1 10:23:30,0.424,6.194,5.5746,24.8,0.3816
2026/7/1 10:23:40,0.4215,6.1926,5.5733,24.71,0.3794
2026/7/1 10:23:50,0.4277,6.1915,5.5724,24.78,0.3849
2026/7/1 10:24:00,0.4242,6.191,5.5719,24.75,0.3818
2026/7/1 10:24:10,0.4238,6.1912,5.5721,24.78,0.3814
2026/7/1 10:24:20,0.4245,6.1919,5.5728,24.85,0.382
2026/7/1 10:24:30,0.4278,6.1932,5.5739,24.8,0.385
2026/7/1 10:24:40,0.4207,6.1946,5.5751,24.77,0.3786
2026/7/1 10:24:50,0.4253,6.1959,5.5763,24.88,0.3828
