 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.407550,0.019800,24.50
0.5,0.407764,0.019822,24.50
1.0,0.407979,0.019844,24.50
1.5,0.408193,0.019866,24.50
2.0,0.408408,0.019888,24.50
2.5,0.408622,0.019910,24.50
3.0,0.408837,0.019932,24.50
3.5,0.409051,0.019954,24.50
4.0,0.409266,0.019976,24.50
4.5,0.409480,0.019998,24.50
5.0,0.409695,0.020020,24.50
5.5,0.409909,0.020042,24.51
6.0,0.410124,0.020064,24.51
6.5,0.410338,0.020086,24.51
7.0,0.410553,0.020108,24.51
7.5,0.410767,0.020130,24.51
8.0,0.410982,0.020152,24.51
8.5,0.411196,0.020174,24.51
9.0,0.411411,0.020196,24.51
9.5,0.411625,0.020218,24.51
10.0,0.411840,0.020240,24.51
10.5,0.412054,0.020262,24.51
11.0,0.412269,0.020284,24.51
11.5,0.412483,0.020306,24.51
12.0,0.412698,0.020328,24.51
12.5,0.412912,0.020350,24.51
13.0,0.413127,0.020372,24.51
13.5,0.413341,0.020394,24.51
14.0,0.413556,0.020416,24.51
14.5,0.413770,0.020438,24.51
15.0,0.413985,0.020460,24.52
15.5,0.414199,0.020482,24.52
16.0,0.414414,0.020504,24.52
16.5,0.414628,0.020526,24.52
17.0,0.414843,0.020548,24.52
17.5,0.415057,0.020570,24.52
18.0,0.415272,0.020592,24.52
18.5,0.415486,0.020614,24.52
19.0,0.415701,0.020636,24.52
19.5,0.415915,0.020658,24.52
20.0,0.416130,0.020680,24.52
20.5,0.416344,0.020702,24.52
21.0,0.416559,0.020724,24.52
21.5,0.416773,0.020746,24.52
22.0,0.416988,0.020768,24.52
22.5,0.417202,0.020790,24.52
23.0,0.417417,0.020812,24.52
23.5,0.417631,0.020834,24.52
24.0,0.417846,0.020856,24.52
24.5,0.418060,0.020878,24.52
25.0,0.418275,0.020900,24.52
25.5,0.418489,0.020922,24.53
26.0,0.418704,0.020944,24.53
26.5,0.418918,0.020966,24.53
27.0,0.419133,0.020988,24.53
27.5,0.419347,0.021010,24.53
28.0,0.419562,0.021032,24.53
28.5,0.419776,0.021054,24.53
29.0,0.419991,0.021076,24.53
29.5,0.420205,0.021098,24.53
30.0,0.420420,0.021120,24.53
30.5,0.420634,0.021142,24.53
31.0,0.420849,0.021164,24.53
31.5,0.421063,0.021186,24.53
32.0,0.421278,0.021208,24.53
32.5,0.421492,0.021230,24.53
33.0,0.421707,0.021252,24.53
33.5,0.421921,0.021274,24.53
34.0,0.422136,0.021296,24.53
34.5,0.422350,0.021318,24.53
35.0,0.422565,0.021340,24.54
35.5,0.422779,0.021362,24.54
36.0,0.422994,0.021384,24.54
36.5,0.423208,0.021406,24.54
37.0,0.423423,0.021428,24.54
37.5,0.423637,0.021450,24.54
38.0,0.423852,0.021472,24.54
38.5,0.424066,0.021494,24.54
39.0,0.424281,0.021516,24.54
39.5,0.424495,0.021538,24.54
40.0,0.424710,0.021560,24.54
40.5,0.424924,0.021582,24.54
41.0,0.425139,0.021604,24.54
41.5,0.425353,0.021626,24.54
42.0,0.425568,0.021648,24.54
42.5,0.425782,0.021670,24.54
43.0,0.425997,0.021692,24.54
43.5,0.426211,0.021714,24.54
44.0,0.426426,0.021736,24.54
44.5,0.426640,0.021758,24.54
45.0,0.426855,0.021780,24.55
45.5,0.427069,0.021802,24.55
46.0,0.427284,0.021824,24.55
46.5,0.427498,0.021846,24.55
47.0,0.427713,0.021868,24.55
47.5,0.427927,0.021890,24.55
48.0,0.428142,0.021912,24.55
48.5,0.428356,0.021934,24.55
49.0,0.428571,0.021956,24.55
