 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.403750,0.022500,24.50
0.5,0.403962,0.022525,24.50
1.0,0.404175,0.022550,24.50
1.5,0.404387,0.022575,24.50
2.0,0.404600,0.022600,24.50
2.5,0.404812,0.022625,24.50
3.0,0.405025,0.022650,24.50
3.5,0.405237,0.022675,24.50
4.0,0.405450,0.022700,24.50
4.5,0.405662,0.022725,24.50
5.0,0.405875,0.022750,24.50
5.5,0.406087,0.022775,24.51
6.0,0.406300,0.022800,24.51
6.5,0.406512,0.022825,24.51
7.0,0.406725,0.022850,24.51
7.5,0.406937,0.022875,24.51
8.0,0.407150,0.022900,24.51
8.5,0.407362,0.022925,24.51
9.0,0.407575,0.022950,24.51
9.5,0.407787,0.022975,24.51
10.0,0.408000,0.023000,24.51
10.5,0.408212,0.023025,24.51
11.0,0.408425,0.023050,24.51
11.5,0.408637,0.023075,24.51
12.0,0.408850,0.023100,24.51
12.5,0.409062,0.023125,24.51
13.0,0.409275,0.023150,24.51
13.5,0.409487,0.023175,24.51
14.0,0.409700,0.023200,24.51
14.5,0.409912,0.023225,24.51
15.0,0.410125,0.023250,24.52
15.5,0.410337,0.023275,24.52
16.0,0.410550,0.023300,24.52
16.5,0.410762,0.023325,24.52
17.0,0.410975,0.023350,24.52
17.5,0.411187,0.023375,24.52
18.0,0.411400,0.023400,24.52
18.5,0.411612,0.023425,24.52
19.0,0.411825,0.023450,24.52
19.5,0.412037,0.023475,24.52
20.0,0.412250,0.023500,24.52
20.5,0.412462,0.023525,24.52
21.0,0.412675,0.023550,24.52
21.5,0.412887,0.023575,24.52
22.0,0.413100,0.023600,24.52
22.5,0.413312,0.023625,24.52
23.0,0.413525,0.023650,24.52
23.5,0.413737,0.023675,24.52
24.0,0.413950,0.023700,24.52
24.5,0.414162,0.023725,24.52
25.0,0.414375,0.023750,24.52
25.5,0.414587,0.023775,24.53
26.0,0.414800,0.023800,24.53
26.5,0.415012,0.023825,24.53
27.0,0.415225,0.023850,24.53
27.5,0.415437,0.023875,24.53
28.0,0.415650,0.023900,24.53
28.5,0.415862,0.023925,24.53
29.0,0.416075,0.023950,24.53
29.5,0.416287,0.023975,24.53
30.0,0.416500,0.024000,24.53
30.5,0.416712,0.024025,24.53
31.0,0.416925,0.024050,24.53
31.5,0.417137,0.024075,24.53
32.0,0.417350,0.024100,24.53
32.5,0.417562,0.024125,24.53
33.0,0.417775,0.024150,24.53
33.5,0.417987,0.024175,24.53
34.0,0.418200,0.024200,24.53
34.5,0.418412,0.024225,24.53
35.0,0.418625,0.024250,24.54
35.5,0.418837,0.024275,24.54
36.0,0.419050,0.024300,24.54
36.5,0.419262,0.024325,24.54
37.0,0.419475,0.024350,24.54
37.5,0.419687,0.024375,24.54
38.0,0.419900,0.024400,24.54
38.5,0.420112,0.024425,24.54
39.0,0.420325,0.024450,24.54
39.5,0.420537,0.024475,24.54
40.0,0.420750,0.024500,24.54
40.5,0.420962,0.024525,24.54
41.0,0.421175,0.024550,24.54
41.5,0.421387,0.024575,24.54
42.0,0.421600,0.024600,24.54
42.5,0.421812,0.024625,24.54
43.0,0.422025,0.024650,24.54
43.5,0.422237,0.024675,24.54
44.0,0.422450,0.024700,24.54
44.5,0.422662,0.024725,24.54
45.0,0.422875,0.024750,24.55
45.5,0.423087,0.024775,24.55
46.0,0.423300,0.024800,24.55
46.5,0.423512,0.024825,24.55
47.0,0.423725,0.024850,24.55
47.5,0.423937,0.024875,24.55
48.0,0.424150,0.024900,24.55
48.5,0.424362,0.024925,24.55
49.0,0.424575,0.024950,24.55
49.5,0.424787,0.024975,24.55
50.0,0.425000,0.025000,24.55
50.5,0.425212,0.025025,24.55
51.0,0.425425,0.025050,24.55
51.5,0.425638,0.025075,24.55
52.0,0.425850,0.025100,24.55
52.5,0.426062,0.025125,24.55
53.0,0.426275,0.025150,24.55
53.5,0.426488,0.025175,24.55
54.0,0.426700,0.025200,24.55
54.5,0.426912,0.025225,24.55
55.0,0.427125,0.025250,24.55
55.5,0.427338,0.025275,24.56
56.0,0.427550,0.025300,24.56
56.5,0.427762,0.025325,24.56
57.0,0.427975,0.025350,24.56
57.5,0.428187,0.025375,24.56
58.0,0.428400,0.025400,24.56
58.5,0.428612,0.025425,24.56
59.0,0.428825,0.025450,24.56
