 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.408500,0.007200,24.50
0.5,0.408715,0.007208,24.50
1.0,0.408930,0.007216,24.50
1.5,0.409145,0.007224,24.50
2.0,0.409360,0.007232,24.50
2.5,0.409575,0.007240,24.50
3.0,0.409790,0.007248,24.50
3.5,0.410005,0.007256,24.50
4.0,0.410220,0.007264,24.50
4.5,0.410435,0.007272,24.50
5.0,0.410650,0.007280,24.50
5.5,0.410865,0.007288,24.51
6.0,0.411080,0.007296,24.51
6.5,0.411295,0.007304,24.51
7.0,0.411510,0.007312,24.51
7.5,0.411725,0.007320,24.51
8.0,0.411940,0.007328,24.51
8.5,0.412155,0.007336,24.51
9.0,0.412370,0.007344,24.51
9.5,0.412585,0.007352,24.51
10.0,0.412800,0.007360,24.51
10.5,0.413015,0.007368,24.51
11.0,0.413230,0.007376,24.51
11.5,0.413445,0.007384,24.51
12.0,0.413660,0.007392,24.51
12.5,0.413875,0.007400,24.51
13.0,0.414090,0.007408,24.51
13.5,0.414305,0.007416,24.51
14.0,0.414520,0.007424,24.51
14.5,0.414735,0.007432,24.51
15.0,0.414950,0.007440,24.52
15.5,0.415165,0.007448,24.52
16.0,0.415380,0.007456,24.52
16.5,0.415595,0.007464,24.52
17.0,0.415810,0.007472,24.52
17.5,0.416025,0.007480,24.52
18.0,0.416240,0.007488,24.52
18.5,0.416455,0.007496,24.52
19.0,0.416670,0.007504,24.52
19.5,0.416885,0.007512,24.52
20.0,0.417100,0.007520,24.52
20.5,0.417315,0.007528,24.52
21.0,0.417530,0.007536,24.52
21.5,0.417745,0.007544,24.52
22.0,0.417960,0.007552,24.52
22.5,0.418175,0.007560,24.52
23.0,0.418390,0.007568,24.52
23.5,0.418605,0.007576,24.52
24.0,0.418820,0.007584,24.52
24.5,0.419035,0.007592,24.52
25.0,0.419250,0.007600,24.52
25.5,0.419465,0.007608,24.53
26.0,0.419680,0.007616,24.53
26.5,0.419895,0.007624,24.53
27.0,0.420110,0.007632,24.53
27.5,0.420325,0.007640,24.53
28.0,0.420540,0.007648,24.53
28.5,0.420755,0.007656,24.53
29.0,0.420970,0.007664,24.53
29.5,0.421185,0.007672,24.53
30.0,0.421400,0.007680,24.53
30.5,0.421615,0.007688,24.53
31.0,0.421830,0.007696,24.53
31.5,0.422045,0.007704,24.53
32.0,0.422260,0.007712,24.53
32.5,0.422475,0.007720,24.53
33.0,0.422690,0.007728,24.53
33.5,0.422905,0.007736,24.53
34.0,0.423120,0.007744,24.53
34.5,0.423335,0.007752,24.53
35.0,0.423550,0.007760,24.54
35.5,0.423765,0.007768,24.54
36.0,0.423980,0.007776,24.54
36.5,0.424195,0.007784,24.54
37.0,0.424410,0.007792,24.54
37.5,0.424625,0.007800,24.54
38.0,0.424840,0.007808,24.54
38.5,0.425055,0.007816,24.54
39.0,0.425270,0.007824,24.54
39.5,0.425485,0.007832,24.54
40.0,0.425700,0.007840,24.54
40.5,0.425915,0.007848,24.54
41.0,0.426130,0.007856,24.54
41.5,0.426345,0.007864,24.54
42.0,0.426560,0.007872,24.54
42.5,0.426775,0.007880,24.54
43.0,0.426990,0.007888,24.54
43.5,0.427205,0.007896,24.54
44.0,0.427420,0.007904,24.54
44.5,0.427635,0.007912,24.54
45.0,0.427850,0.007920,24.55
45.5,0.428065,0.007928,24.55
46.0,0.428280,0.007936,24.55
46.5,0.428495,0.007944,24.55
47.0,0.428710,0.007952,24.55
47.5,0.428925,0.007960,24.55
48.0,0.429140,0.007968,24.55
48.5,0.429355,0.007976,24.55
49.0,0.429570,0.007984,24.55
49.5,0.429785,0.007992,24.55
50.0,0.430000,0.008000,24.55
50.5,0.430215,0.008008,24.55
51.0,0.430430,0.008016,24.55
51.5,0.430645,0.008024,24.55
52.0,0.430860,0.008032,24.55
52.5,0.431075,0.008040,24.55
53.0,0.431290,0.008048,24.55
53.5,0.431505,0.008056,24.55
54.0,0.431720,0.008064,24.55
54.5,0.431935,0.008072,24.55
55.0,0.432150,0.008080,24.55
55.5,0.432365,0.008088,24.56
56.0,0.432580,0.008096,24.56
56.5,0.432795,0.008104,24.56
57.0,0.433010,0.008112,24.56
57.5,0.433225,0.008120,24.56
58.0,0.433440,0.008128,24.56
58.5,0.433655,0.008136,24.56
59.0,0.433870,0.008144,24.56
59.5,0.434085,0.008152,24.56
60.0,0.434300,0.008160,24.56
60.5,0.434515,0.008168,24.56
61.0,0.434730,0.008176,24.56
61.5,0.434945,0.008184,24.56
62.0,0.435160,0.008192,24.56
62.5,0.435375,0.008200,24.56
63.0,0.435590,0.008208,24.56
63.5,0.435805,0.008216,24.56
64.0,0.436020,0.008224,24.56
64.5,0.436235,0.008232,24.56
65.0,0.436450,0.008240,24.57
65.5,0.436665,0.008248,24.57
66.0,0.436880,0.008256,24.57
66.5,0.437095,0.008264,24.57
67.0,0.437310,0.008272,24.57
67.5,0.437525,0.008280,24.57
68.0,0.437740,0.008288,24.57
68.5,0.437955,0.008296,24.57
69.0,0.438170,0.008304,24.57
69.5,0.438385,0.008312,24.57
70.0,0.438600,0.008320,24.57
70.5,0.438815,0.008328,24.57
71.0,0.439030,0.008336,24.57
71.5,0.439245,0.008344,24.57
72.0,0.439460,0.008352,24.57
72.5,0.439675,0.008360,24.57
73.0,0.439890,0.008368,24.57
73.5,0.440105,0.008376,24.57
74.0,0.440320,0.008384,24.57
74.5,0.440535,0.008392,24.57
75.0,0.440750,0.008400,24.57
75.5,0.440965,0.008408,24.58
76.0,0.441180,0.008416,24.58
76.5,0.441395,0.008424,24.58
77.0,0.441610,0.008432,24.58
77.5,0.441825,0.008440,24.58
78.0,0.442040,0.008448,24.58
78.5,0.442255,0.008456,24.58
79.0,0.442470,0.008464,24.58
79.5,0.442685,0.008472,24.58
80.0,0.442900,0.008480,24.58
80.5,0.443115,0.008488,24.58
81.0,0.443330,0.008496,24.58
81.5,0.443545,0.008504,24.58
82.0,0.443760,0.008512,24.58
82.5,0.443975,0.008520,24.58
83.0,0.444190,0.008528,24.58
83.5,0.444405,0.008536,24.58
