 ±º‰ (s),P1 (MPa),M1 (L/min),T (°„C)
0.0,0.403750,0.028800,24.50
0.5,0.403962,0.028832,24.50
1.0,0.404175,0.028864,24.50
1.5,0.404387,0.028896,24.50
2.0,0.404600,0.028928,24.50
2.5,0.404812,0.028960,24.50
3.0,0.405025,0.028992,24.50
3.5,0.405237,0.029024,24.50
4.0,0.405450,0.029056,24.50
4.5,0.405662,0.029088,24.50
5.0,0.405875,0.029120,24.50
5.5,0.406087,0.029152,24.51
6.0,0.406300,0.029184,24.51
6.5,0.406512,0.029216,24.51
7.0,0.406725,0.029248,24.51
7.5,0.406937,0.029280,24.51
8.0,0.407150,0.029312,24.51
8.5,0.407362,0.029344,24.51
9.0,0.407575,0.029376,24.51
9.5,0.407787,0.029408,24.51
10.0,0.408000,0.029440,24.51
10.5,0.408212,0.029472,24.51
11.0,0.408425,0.029504,24.51
11.5,0.408637,0.029536,24.51
12.0,0.408850,0.029568,24.51
12.5,0.409062,0.029600,24.51
13.0,0.409275,0.029632,24.51
13.5,0.409487,0.029664,24.51
14.0,0.409700,0.029696,24.51
14.5,0.409912,0.029728,24.51
15.0,0.410125,0.029760,24.52
15.5,0.410337,0.029792,24.52
16.0,0.410550,0.029824,24.52
16.5,0.410762,0.029856,24.52
17.0,0.410975,0.029888,24.52
17.5,0.411187,0.029920,24.52
18.0,0.411400,0.029952,24.52
18.5,0.411612,0.029984,24.52
19.0,0.411825,0.030016,24.52
19.5,0.412037,0.030048,24.52
20.0,0.412250,0.030080,24.52
20.5,0.412462,0.030112,24.52
21.0,0.412675,0.030144,24.52
21.5,0.412887,0.030176,24.52
22.0,0.413100,0.030208,24.52
22.5,0.413312,0.030240,24.52
23.0,0.413525,0.030272,24.52
23.5,0.413737,0.030304,24.52
24.0,0.413950,0.030336,24.52
24.5,0.414162,0.030368,24.52
25.0,0.414375,0.030400,24.52
25.5,0.414587,0.030432,24.53
26.0,0.414800,0.030464,24.53
26.5,0.415012,0.030496,24.53
27.0,0.415225,0.030528,24.53
27.5,0.415437,0.030560,24.53
28.0,0.415650,0.030592,24.53
28.5,0.415862,0.030624,24.53
29.0,0.416075,0.030656,24.53
29.5,0.416287,0.030688,24.53
30.0,0.416500,0.030720,24.53
30.5,0.416712,0.030752,24.53
31.0,0.416925,0.030784,24.53
31.5,0.417137,0.030816,24.53
32.0,0.417350,0.030848,24.53
32.5,0.417562,0.030880,24.53
33.0,0.417775,0.030912,24.53
33.5,0.417987,0.030944,24.53
34.0,0.418200,0.030976,24.53
34.5,0.418412,0.031008,24.53
35.0,0.418625,0.031040,24.54
35.5,0.418837,0.031072,24.54
36.0,0.419050,0.031104,24.54
36.5,0.419262,0.031136,24.54
37.0,0.419475,0.031168,24.54
37.5,0.419687,0.031200,24.54
38.0,0.419900,0.031232,24.54
38.5,0.420112,0.031264,24.54
39.0,0.420325,0.031296,24.54
39.5,0.420537,0.031328,24.54
40.0,0.420750,0.031360,24.54
40.5,0.420962,0.031392,24.54
41.0,0.421175,0.031424,24.54
41.5,0.421387,0.031456,24.54
42.0,0.421600,0.031488,24.54
42.5,0.421812,0.031520,24.54
43.0,0.422025,0.031552,24.54
43.5,0.422237,0.031584,24.54
44.0,0.422450,0.031616,24.54
44.5,0.422662,0.031648,24.54
45.0,0.422875,0.031680,24.55
45.5,0.423087,0.031712,24.55
46.0,0.423300,0.031744,24.55
46.5,0.423512,0.031776,24.55
47.0,0.423725,0.031808,24.55
47.5,0.423937,0.031840,24.55
48.0,0.424150,0.031872,24.55
48.5,0.424362,0.031904,24.55
49.0,0.424575,0.031936,24.55
49.5,0.424787,0.031968,24.55
50.0,0.425000,0.032000,24.55
50.5,0.425212,0.032032,24.55
51.0,0.425425,0.032064,24.55
51.5,0.425638,0.032096,24.55
52.0,0.425850,0.032128,24.55
52.5,0.426062,0.032160,24.55
53.0,0.426275,0.032192,24.55
53.5,0.426488,0.032224,24.55
54.0,0.426700,0.032256,24.55
54.5,0.426912,0.032288,24.55
55.0,0.427125,0.032320,24.55
55.5,0.427338,0.032352,24.56
56.0,0.427550,0.032384,24.56
56.5,0.427762,0.032416,24.56
57.0,0.427975,0.032448,24.56
57.5,0.428187,0.032480,24.56
58.0,0.428400,0.032512,24.56
58.5,0.428612,0.032544,24.56
59.0,0.428825,0.032576,24.56
59.5,0.429038,0.032608,24.56
60.0,0.429250,0.032640,24.56
60.5,0.429462,0.032672,24.56
61.0,0.429675,0.032704,24.56
61.5,0.429887,0.032736,24.56
62.0,0.430100,0.032768,24.56
62.5,0.430312,0.032800,24.56
63.0,0.430525,0.032832,24.56
63.5,0.430737,0.032864,24.56
64.0,0.430950,0.032896,24.56
64.5,0.431162,0.032928,24.56
65.0,0.431375,0.032960,24.57
65.5,0.431587,0.032992,24.57
66.0,0.431800,0.033024,24.57
66.5,0.432012,0.033056,24.57
67.0,0.432225,0.033088,24.57
67.5,0.432438,0.033120,24.57
68.0,0.432650,0.033152,24.57
68.5,0.432862,0.033184,24.57
69.0,0.433075,0.033216,24.57
69.5,0.433287,0.033248,24.57
70.0,0.433500,0.033280,24.57
70.5,0.433712,0.033312,24.57
71.0,0.433925,0.033344,24.57
71.5,0.434137,0.033376,24.57
72.0,0.434350,0.033408,24.57
72.5,0.434562,0.033440,24.57
73.0,0.434775,0.033472,24.57
73.5,0.434987,0.033504,24.57
74.0,0.435200,0.033536,24.57
74.5,0.435412,0.033568,24.57
75.0,0.435625,0.033600,24.57
75.5,0.435838,0.033632,24.58
76.0,0.436050,0.033664,24.58
76.5,0.436262,0.033696,24.58
77.0,0.436475,0.033728,24.58
77.5,0.436687,0.033760,24.58
78.0,0.436900,0.033792,24.58
78.5,0.437112,0.033824,24.58
79.0,0.437325,0.033856,24.58
79.5,0.437538,0.033888,24.58
80.0,0.437750,0.033920,24.58
80.5,0.437962,0.033952,24.58
81.0,0.438175,0.033984,24.58
81.5,0.438387,0.034016,24.58
82.0,0.438600,0.034048,24.58
82.5,0.438812,0.034080,24.58
83.0,0.439025,0.034112,24.58
83.5,0.439237,0.034144,24.58
84.0,0.439450,0.034176,24.58
84.5,0.439662,0.034208,24.58
85.0,0.439875,0.034240,24.59
85.5,0.440087,0.034272,24.59
86.0,0.440300,0.034304,24.59
86.5,0.440512,0.034336,24.59
87.0,0.440725,0.034368,24.59
87.5,0.440937,0.034400,24.59
88.0,0.441150,0.034432,24.59
88.5,0.441362,0.034464,24.59
89.0,0.441575,0.034496,24.59
89.5,0.441787,0.034528,24.59
90.0,0.442000,0.034560,24.59
90.5,0.442212,0.034592,24.59
91.0,0.442425,0.034624,24.59
91.5,0.442637,0.034656,24.59
92.0,0.442850,0.034688,24.59
92.5,0.443062,0.034720,24.59
93.0,0.443275,0.034752,24.59
93.5,0.443487,0.034784,24.59
94.0,0.443700,0.034816,24.59
94.5,0.443912,0.034848,24.59
95.0,0.444125,0.034880,24.59
95.5,0.444337,0.034912,24.60
96.0,0.444550,0.034944,24.60
96.5,0.444763,0.034976,24.60
97.0,0.444975,0.035008,24.60
97.5,0.445187,0.035040,24.60
98.0,0.445400,0.035072,24.60
98.5,0.445612,0.035104,24.60
99.0,0.445825,0.035136,24.60
99.5,0.446037,0.035168,24.60
